scenario,method,step,mean_progress_delta,std_progress_delta,n_traces,n_unique_seeds,aggregation_level
standard_moderate,full_outer_loop,23,0.0015508010983466835,0.0016529958448575533,16,3,method_step_across_available_traces
standard_moderate,full_outer_loop,24,0.00100303813815115,0.0015645772720532791,16,3,method_step_across_available_traces
standard_moderate,full_outer_loop,25,0.0032679326832294065,0.0006407151087897211,16,3,method_step_across_available_traces
standard_moderate,full_outer_loop,26,0.00235904008150097,0.0013325501929659016,16,3,method_step_across_available_traces
standard_moderate,full_outer_loop,27,0.0008360184729099062,0.0015191954160635036,16,3,method_step_across_available_traces
standard_moderate,full_outer_loop,28,0.0022309236228465687,0.0014615103791491327,16,3,method_step_across_available_traces
standard_moderate,full_outer_loop,29,0.0005213432013988437,0.0012713578061691985,16,3,method_step_across_available_traces
standard_moderate,full_outer_loop,30,0.0020435638725757343,0.0016553195209154318,16,3,method_step_across_available_traces
standard_moderate,full_outer_loop,31,0.0018856599926948146,0.0017519564564138913,16,3,method_step_across_available_traces
standard_moderate,full_outer_loop,32,0.0026708245277404443,0.0011891674509036684,15,3,method_step_across_available_traces
standard_moderate,full_outer_loop,33,0.0011965632438659488,0.0016769823604246693,14,3,method_step_across_available_traces
standard_moderate,full_outer_loop,34,0.0023387542792728555,0.0014023919160835443,14,3,method_step_across_available_traces
standard_moderate,full_outer_loop,35,0.0006925123078482428,0.0014028435730051982,14,3,method_step_across_available_traces
standard_moderate,full_outer_loop,36,0.001985396657671216,0.0016019994407824158,14,3,method_step_across_available_traces
standard_moderate,full_outer_loop,37,0.0017660771097455382,0.00167951533345474,14,3,method_step_across_available_traces
standard_moderate,full_outer_loop,38,0.0017802466948826916,0.0018620901851068934,12,3,method_step_across_available_traces
standard_moderate,full_outer_loop,39,0.001819546024004585,0.0013856213184889293,12,3,method_step_across_available_traces
standard_moderate,single_shot_llm,0,0.004845344358020317,0.00310693814651019,18,3,method_step_across_available_traces
standard_moderate,single_shot_llm,1,0.004863960875405167,0.0031498772843785525,18,3,method_step_across_available_traces
standard_moderate,single_shot_llm,2,0.004882779386308428,0.0031932653841072562,18,3,method_step_across_available_traces
standard_moderate,single_shot_llm,3,0.0049018164475758555,0.003237196058801629,18,3,method_step_across_available_traces
standard_moderate,single_shot_llm,4,0.003921518723169922,0.0017884172228627543,18,3,method_step_across_available_traces
standard_moderate,single_shot_llm,5,0.003927386469311144,0.0018133119613831907,18,3,method_step_across_available_traces
standard_moderate,single_shot_llm,6,0.00393339991569515,0.001838512471558734,18,3,method_step_across_available_traces
standard_moderate,single_shot_llm,7,0.0035504665639665115,0.0022621796719277014,18,3,method_step_across_available_traces
standard_moderate,single_shot_llm,8,0.005213833517498411,0.0035179285285191317,18,3,method_step_across_available_traces
standard_moderate,single_shot_llm,9,0.009514828523000061,0.002973812678894283,18,3,method_step_across_available_traces
standard_moderate,single_shot_llm,10,0.00884298607707015,0.003026467169335802,16,3,method_step_across_available_traces
standard_moderate,single_shot_llm,11,0.004894193261861759,0.004296794074067793,16,3,method_step_across_available_traces
standard_moderate,single_shot_llm,12,0.0054985694587230075,0.00464153765541464,16,3,method_step_across_available_traces
standard_moderate,single_shot_llm,13,0.004720073193311658,0.0046588720381023335,16,3,method_step_across_available_traces
standard_moderate,single_shot_llm,14,0.004511069506406755,0.0048304876317419344,16,3,method_step_across_available_traces
standard_moderate,single_shot_llm,15,0.0043233633041381515,0.0050392200024419395,16,3,method_step_across_available_traces
standard_moderate,single_shot_llm,16,0.0019101798534393122,0.0016217432535929682,16,3,method_step_across_available_traces
standard_moderate,single_shot_llm,17,0.005013436079025238,0.00560219042793765,16,3,method_step_across_available_traces
standard_moderate,single_shot_llm,18,0.004317004233598675,0.00499712710925406,16,3,method_step_across_available_traces
standard_moderate,single_shot_llm,19,0.00418461114168164,0.005075409698087479,16,3,method_step_across_available_traces
standard_moderate,single_shot_llm,20,0.0015953145921230138,0.0016852352478389624,16,3,method_step_across_available_traces
standard_moderate,single_shot_llm,21,0.0013570003211498,0.0014357702834970868,16,3,method_step_across_available_traces
standard_moderate,single_shot_llm,22,0.0009615793824195721,0.0015405388923838196,16,3,method_step_across_available_traces
standard_moderate,single_shot_llm,23,0.0018666461110114793,0.0015726718292576436,16,3,method_step_across_available_traces
standard_moderate,single_shot_llm,24,0.00100303813815115,0.0015645772720532791,16,3,method_step_across_available_traces
standard_moderate,single_shot_llm,25,0.003179993480443919,0.0007148012564986662,16,3,method_step_across_available_traces
standard_moderate,single_shot_llm,26,0.002153933048248261,0.0012424250188638668,15,3,method_step_across_available_traces
standard_moderate,single_shot_llm,27,0.0014510830243428198,0.0016792221156274702,15,3,method_step_across_available_traces
standard_moderate,single_shot_llm,28,0.0015639344851175732,0.0016131897833986447,15,3,method_step_across_available_traces
standard_moderate,single_shot_llm,29,0.0010552883148193268,0.0015206064435870663,15,3,method_step_across_available_traces
standard_moderate,single_shot_llm,30,0.0018599470456441033,0.0018012656397997549,15,3,method_step_across_available_traces
standard_moderate,single_shot_llm,31,0.001760120902742631,0.0018581969293507972,14,3,method_step_across_available_traces
standard_moderate,single_shot_llm,32,0.0022060998848506116,0.0015185836032560662,14,3,method_step_across_available_traces
standard_moderate,single_shot_llm,33,0.001548745802470599,0.0018510779355900753,14,3,method_step_across_available_traces
standard_moderate,single_shot_llm,34,0.0021899768284388554,0.0015526512062169055,14,3,method_step_across_available_traces
standard_moderate,single_shot_llm,35,0.0009332214082990286,0.0015556699593764775,14,3,method_step_across_available_traces
standard_moderate,single_shot_llm,36,0.0018670899527413233,0.0017365418476121056,14,3,method_step_across_available_traces
standard_moderate,single_shot_llm,37,0.0017780491283961451,0.001692864667182274,14,3,method_step_across_available_traces
standard_moderate,single_shot_llm,38,0.001780251661936425,0.001862095189545005,12,3,method_step_across_available_traces
standard_moderate,single_shot_llm,39,0.002106939752896593,0.0015748949372448424,12,3,method_step_across_available_traces
