scenario,method,action_category,mean_usage_share,n_seeds
standard_moderate,baseline_rl,communication,0.0,3
standard_moderate,baseline_rl,coordinated,0.1610063102327799,3
standard_moderate,baseline_rl,feeder,0.0698903195040534,3
standard_moderate,baseline_rl,mobile_energy,0.3235251540591395,3
standard_moderate,baseline_rl,power,0.2647352252941633,3
standard_moderate,baseline_rl,road,0.0,3
standard_moderate,baseline_rl,wait,0.1808429909098638,3
standard_moderate,full_outer_loop,communication,0.0423728813559322,3
standard_moderate,full_outer_loop,coordinated,0.1497802887633396,3
standard_moderate,full_outer_loop,feeder,0.0694538606403013,3
standard_moderate,full_outer_loop,mobile_energy,0.3313935969868173,3
standard_moderate,full_outer_loop,power,0.2142937853107344,3
standard_moderate,full_outer_loop,road,0.03954802259887,3
standard_moderate,full_outer_loop,wait,0.153157564344005,3
standard_moderate,single_shot_llm,communication,0.054661667838267,3
standard_moderate,single_shot_llm,coordinated,0.1483465970070672,3
standard_moderate,single_shot_llm,feeder,0.0615480746699992,3
standard_moderate,single_shot_llm,mobile_energy,0.3340083776661141,3
standard_moderate,single_shot_llm,power,0.2097264530014666,3
standard_moderate,single_shot_llm,road,0.03954802259887,3
standard_moderate,single_shot_llm,wait,0.1521608072182156,3
