scenario,method,n_total,n_valid,evidence_level,excluded_from_main,selection_score_mean,selection_score_std,min_recovery_ratio_mean,min_recovery_ratio_std,critical_load_recovery_ratio_mean,critical_load_recovery_ratio_std,communication_recovery_ratio_mean,communication_recovery_ratio_std,power_recovery_ratio_mean,power_recovery_ratio_std,road_recovery_ratio_mean,road_recovery_ratio_std,constraint_violation_rate_eval_mean,constraint_violation_rate_eval_std,invalid_action_rate_eval_mean,invalid_action_rate_eval_std,wait_hold_usage_eval_mean,wait_hold_usage_eval_std,mean_progress_delta_eval_mean,mean_progress_delta_eval_std,eval_success_rate_mean,eval_success_rate_std,safety_capacity_index_mean,safety_capacity_index_std
resource_moderate,ablation_fixed_global,3,3,per_seed_n3,False,0.34349390505419836,0.006374421311644304,0.5891944567362467,8.576745635994528e-05,0.9010915524429746,0.025406355394587556,0.6360897521177927,8.577556752473814e-05,0.8019158608383603,0.012032310610392182,0.5891944567362467,8.576745635994528e-05,0.0,0.0,0.0,0.0,0.35,0.0,0.004776569952567419,8.036287696995762e-05,0.0,0.0,0.8216001032127275,0.008921464617333529
resource_moderate,baseline_rl,3,3,per_seed_n3,False,0.2348879274174019,0.01804305056736662,0.43174915512402845,0.027844072460850775,0.6557930575476753,0.047580604935110606,0.48888137439886725,0.0251309505329141,0.5712009933259752,0.021353945831555834,0.4336783670716815,0.030571411343630457,0.04444444444444443,0.06285393610547088,0.04444444444444443,0.06285393610547088,0.25925925925925924,0.15108205966200844,0.0018173445154118666,0.0004379757109066943,0.0,0.0,0.667306441101763,0.014274875230980663
resource_moderate,full_outer_loop,3,3,per_seed_n3,False,0.34349390505419836,0.006374421311644304,0.5891944567362467,8.576745635994528e-05,0.9010915524429746,0.025406355394587556,0.6360897521177927,8.577556752473814e-05,0.8019158608383603,0.012032310610392182,0.5891944567362467,8.576745635994528e-05,0.0,0.0,0.0,0.0,0.35,0.0,0.004776569952567419,8.036287696995762e-05,0.0,0.0,0.8216001032127275,0.008921464617333529
resource_moderate,single_shot_llm,3,3,per_seed_n3,False,0.34696577356921304,0.001300034557387343,0.5891594423188103,4.9517864017097716e-05,0.914987799194124,0.0051811452120528,0.6360547343889872,4.952254700030049e-05,0.8111646208498213,0.007557766333672694,0.5891594423188103,4.9517864017097716e-05,0.0,0.0,0.0,0.0,0.35,0.0,0.00483669133649932,4.9252652576799634e-05,0.0,0.0,0.826451534529527,0.0018159700869804947
