scenario,method,seed,episode_id,step,action,action_category,stage,progress_delta,cumulative_progress,critical_load_recovery_ratio,communication_recovery_ratio,power_recovery_ratio,road_recovery_ratio,constraint_violation,invalid_action,wait_hold_usage
resource_moderate,baseline_rl,42,0,0,9,mes,middle,0.0034999847412109375,0.0034999847412109375,0.6050000190734863,0.46666669845581055,0.5166666507720947,0.4099999964237213,0,0,0
resource_moderate,baseline_rl,42,0,1,9,mes,middle,0.0034999847412109375,0.006999969482421875,0.6199999451637268,0.46666669845581055,0.5300000309944153,0.4099999964237213,0,0,0
resource_moderate,baseline_rl,42,0,2,13,coordinated,middle,0.009763091802597046,0.01676306128501892,0.6330981850624084,0.47668683528900146,0.5400201678276062,0.42146095633506775,0,0,0
resource_moderate,baseline_rl,42,0,3,9,mes,middle,0.003500044345855713,0.020263105630874634,0.6480982303619385,0.47668683528900146,0.553353488445282,0.42146095633506775,0,0,0
resource_moderate,baseline_rl,42,0,4,9,mes,middle,0.0034999847412109375,0.02376309037208557,0.6630982756614685,0.47668683528900146,0.5666868090629578,0.42146095633506775,0,0,0
resource_moderate,baseline_rl,42,0,5,12,feeder,middle,-1.0013580322265625e-05,0.023753076791763306,0.6669155955314636,0.47668683528900146,0.5666486620903015,0.42146095633506775,0,0,0
resource_moderate,baseline_rl,42,0,6,12,feeder,middle,-8.344650268554688e-06,0.02374473214149475,0.6700868606567383,0.47668683528900146,0.566616952419281,0.42146095633506775,0,0,0
resource_moderate,baseline_rl,42,0,7,12,feeder,middle,-7.3909759521484375e-06,0.023737341165542603,0.6729057431221008,0.47668683528900146,0.5665887594223022,0.42146095633506775,1,1,0
resource_moderate,baseline_rl,42,0,8,14,wait,middle,0.0,0.023737341165542603,0.6729057431221008,0.47668683528900146,0.5665887594223022,0.42146095633506775,0,0,1
resource_moderate,baseline_rl,42,0,9,9,mes,middle,0.0034999847412109375,0.02723732590675354,0.6879057884216309,0.47668683528900146,0.5799221396446228,0.42146095633506775,0,0,0
resource_moderate,baseline_rl,42,0,10,12,feeder,middle,-7.867813110351562e-06,0.02722945809364319,0.6909106373786926,0.47668683528900146,0.579892098903656,0.42146095633506775,0,0,0
resource_moderate,baseline_rl,42,0,11,12,feeder,middle,-6.4373016357421875e-06,0.027223020792007446,0.6933507919311523,0.47668683528900146,0.5798676609992981,0.42146095633506775,1,1,0
resource_moderate,baseline_rl,42,0,12,14,wait,middle,0.0,0.027223020792007446,0.6933507919311523,0.47668683528900146,0.5798676609992981,0.42146095633506775,0,0,1
resource_moderate,baseline_rl,42,0,13,12,feeder,middle,-6.616115570068359e-06,0.027216404676437378,0.6958761215209961,0.47668683528900146,0.5798424482345581,0.42146095633506775,0,0,0
resource_moderate,baseline_rl,42,0,14,9,mes,middle,0.003500044345855713,0.03071644902229309,0.7108760476112366,0.47668683528900146,0.5931757688522339,0.42146095633506775,0,0,0
resource_moderate,baseline_rl,42,0,15,12,feeder,middle,-6.020069122314453e-06,0.030710428953170776,0.7131664156913757,0.47668683528900146,0.5931528806686401,0.42146095633506775,1,1,0
resource_moderate,baseline_rl,42,0,16,14,wait,middle,0.0,0.030710428953170776,0.7131664156913757,0.47668683528900146,0.5931528806686401,0.42146095633506775,0,0,1
resource_moderate,baseline_rl,42,0,17,12,feeder,middle,-5.781650543212891e-06,0.030704647302627563,0.7153687477111816,0.47668683528900146,0.593130886554718,0.42146095633506775,0,0,0
resource_moderate,baseline_rl,42,0,18,12,feeder,middle,-4.649162292480469e-06,0.030699998140335083,0.7171304821968079,0.47668683528900146,0.5931132435798645,0.42146095633506775,1,1,0
resource_moderate,baseline_rl,42,0,19,14,wait,middle,0.0,0.030699998140335083,0.7171304821968079,0.47668683528900146,0.5931132435798645,0.42146095633506775,0,0,1
resource_moderate,baseline_rl,42,0,20,9,mes,middle,0.0034999847412109375,0.03419998288154602,0.7321305274963379,0.47668683528900146,0.6064465641975403,0.42146095633506775,0,0,0
resource_moderate,baseline_rl,42,0,21,12,feeder,middle,-5.781650543212891e-06,0.03419420123100281,0.7343524098396301,0.47668683528900146,0.6064243912696838,0.42146095633506775,0,0,0
resource_moderate,baseline_rl,42,0,22,12,feeder,middle,-4.649162292480469e-06,0.03418955206871033,0.7361142039299011,0.47668683528900146,0.6064067482948303,0.42146095633506775,1,1,0
resource_moderate,baseline_rl,42,0,23,14,wait,middle,0.0,0.03418955206871033,0.7361142039299011,0.47668683528900146,0.6064067482948303,0.42146095633506775,0,0,1
resource_moderate,baseline_rl,42,0,24,12,feeder,middle,-5.662441253662109e-06,0.034183889627456665,0.7382772564888,0.47668683528900146,0.6063851118087769,0.42146095633506775,0,0,0
resource_moderate,baseline_rl,42,0,25,12,feeder,middle,-4.649162292480469e-06,0.034179240465164185,0.7400391697883606,0.47668683528900146,0.6063674688339233,0.42146095633506775,1,1,0
resource_moderate,baseline_rl,42,0,26,14,wait,middle,0.0,0.034179240465164185,0.7400391697883606,0.47668683528900146,0.6063674688339233,0.42146095633506775,0,0,1
resource_moderate,baseline_rl,42,0,27,11,mes,middle,0.0034999847412109375,0.03767922520637512,0.7550391554832458,0.47668683528900146,0.6197008490562439,0.42146095633506775,0,0,0
resource_moderate,baseline_rl,42,0,28,12,feeder,middle,-5.841255187988281e-06,0.037673383951187134,0.7572610378265381,0.47668683528900146,0.6196785569190979,0.42146095633506775,0,0,0
resource_moderate,baseline_rl,42,0,29,12,feeder,middle,-4.589557647705078e-06,0.03766879439353943,0.7590227723121643,0.47668683528900146,0.6196610331535339,0.42146095633506775,1,1,0
resource_moderate,baseline_rl,42,0,30,14,wait,middle,0.0,0.03766879439353943,0.7590227723121643,0.47668683528900146,0.6196610331535339,0.42146095633506775,0,0,1
resource_moderate,baseline_rl,42,0,31,12,feeder,middle,-5.7220458984375e-06,0.03766307234764099,0.7611859440803528,0.47668683528900146,0.6196393370628357,0.42146095633506775,1,1,0
resource_moderate,baseline_rl,42,0,32,14,wait,middle,0.0,0.03766307234764099,0.7611859440803528,0.47668683528900146,0.6196393370628357,0.42146095633506775,0,0,1
resource_moderate,baseline_rl,42,0,33,11,mes,middle,0.003500044345855713,0.041163116693496704,0.7761859893798828,0.47668683528900146,0.6329726576805115,0.42146095633506775,0,0,0
resource_moderate,baseline_rl,42,0,34,12,feeder,middle,-5.841255187988281e-06,0.041157275438308716,0.7784078121185303,0.47668683528900146,0.632950484752655,0.42146095633506775,0,0,0
resource_moderate,baseline_rl,42,0,35,12,feeder,middle,-4.649162292480469e-06,0.041152626276016235,0.780169665813446,0.47668683528900146,0.6329328417778015,0.42146095633506775,1,1,0
resource_moderate,baseline_rl,42,0,36,14,wait,middle,0.0,0.041152626276016235,0.780169665813446,0.47668683528900146,0.6329328417778015,0.42146095633506775,0,0,1
resource_moderate,baseline_rl,42,0,37,12,feeder,middle,-5.662441253662109e-06,0.04114696383476257,0.782332718372345,0.47668683528900146,0.632911205291748,0.42146095633506775,0,0,0
resource_moderate,baseline_rl,42,0,38,12,feeder,middle,-4.649162292480469e-06,0.04114231467247009,0.7840945720672607,0.47668683528900146,0.6328935623168945,0.42146095633506775,1,1,0
resource_moderate,baseline_rl,42,0,39,14,wait,middle,0.0,0.04114231467247009,0.7840945720672607,0.47668683528900146,0.6328935623168945,0.42146095633506775,0,0,1
resource_moderate,baseline_rl,42,1,0,13,coordinated,middle,0.009577065706253052,0.009577065706253052,0.5760310888290405,0.5199280381202698,0.5332613587379456,0.45111051201820374,0,0,0
resource_moderate,baseline_rl,42,1,1,9,mes,middle,0.003500044345855713,0.013077110052108765,0.5910311341285706,0.5199280381202698,0.5465947389602661,0.45111051201820374,0,0,0
resource_moderate,baseline_rl,42,1,2,9,mes,middle,0.0034999847412109375,0.016577094793319702,0.6060311198234558,0.5199280381202698,0.5599281191825867,0.45111051201820374,0,0,0
resource_moderate,baseline_rl,42,1,3,9,mes,middle,0.0034999847412109375,0.02007707953453064,0.6210311055183411,0.5199280381202698,0.5732614398002625,0.45111051201820374,0,0,0
