scenario,method,seed,selection_score,critical_load_recovery_ratio,communication_recovery_ratio,power_recovery_ratio,road_recovery_ratio,constraint_violation_rate_eval,invalid_action_rate_eval,wait_hold_usage_eval,mean_progress_delta_eval,eval_success_rate
resource_moderate,baseline_rl,42,0.19711028196414312,0.797023336092631,0.4844960669676463,0.647360642751058,0.4263051748275757,0.25,0.25,0.24166666666666667,0.001167662193377813,0.0
resource_moderate,baseline_rl,43,0.20114606720209122,0.7997521261374155,0.4864616394042969,0.6493236819903055,0.4284709592660268,0.24166666666666667,0.24166666666666667,0.24166666666666667,0.0012147143483161925,0.0
resource_moderate,baseline_rl,44,0.20168931966026624,0.8006219665209452,0.48776842157046,0.6506402293841044,0.430086687207222,0.24166666666666667,0.24166666666666667,0.24583333333333332,0.001247799023985863,0.0
standard_severe,baseline_rl,42,0.34642261258761087,0.8928419947624207,0.6501415967941284,0.8104100525379181,0.6142180860042572,0.0,0.0,0.25833333333333336,0.004606208701928457,0.0
standard_severe,baseline_rl,43,0.2499966722897121,0.7816263536612192,0.5649993320306143,0.8224928577740988,0.523142029841741,0.24166666666666667,0.24166666666666667,0.24166666666666667,0.003241211920976639,0.0
standard_severe,baseline_rl,44,0.34346611698468527,0.8740386366844177,0.659491499265035,0.7995838125546774,0.6229095359643301,0.0,0.0,0.26666666666666666,0.004681882758935292,0.0
