scenario,method,metric,mean,std,n_valid
standard_severe,baseline_rl,road_recovery_ratio,0.5867565506034428,0.05526292395818243,3
standard_severe,baseline_rl,constraint_violation_rate_eval,0.08055555555555556,0.13952631505415955,3
standard_severe,baseline_rl,invalid_action_rate_eval,0.08055555555555556,0.13952631505415955,3
standard_severe,baseline_rl,wait_hold_usage_eval,0.25555555555555554,0.01272937693043289,3
standard_severe,baseline_rl,mean_progress_delta_eval,0.004176434460613463,0.0008108098048923257,3
standard_severe,baseline_rl,safety_capacity_index,,,3
standard_severe,full_outer_loop,selection_score,0.41903254133200174,0.07079776843696073,3
standard_severe,full_outer_loop,min_recovery_ratio,0.6191268596384262,0.0030287540585320857,3
standard_severe,full_outer_loop,critical_load_recovery_ratio,0.8685031500127579,0.007510761198588835,3
standard_severe,full_outer_loop,communication_recovery_ratio,0.6637784143288931,0.01209162772640142,3
standard_severe,full_outer_loop,power_recovery_ratio,0.801904946565628,0.015160469372240122,3
standard_severe,full_outer_loop,road_recovery_ratio,0.6191268596384262,0.0030287540585320857,3
standard_severe,full_outer_loop,constraint_violation_rate_eval,0.0,0.0,3
standard_severe,full_outer_loop,invalid_action_rate_eval,0.0,0.0,3
standard_severe,full_outer_loop,wait_hold_usage_eval,0.2634132502776571,0.00451066194242565,3
standard_severe,full_outer_loop,mean_progress_delta_eval,0.004752905947996212,0.0002063883102721289,3
standard_severe,full_outer_loop,safety_capacity_index,0.8206705033779144,0.0023252680368921206,3
standard_severe,single_shot_llm,selection_score,0.41903254133200174,0.07079776843696073,3
standard_severe,single_shot_llm,min_recovery_ratio,0.6191268596384262,0.0030287540585320857,3
standard_severe,single_shot_llm,critical_load_recovery_ratio,0.8685031500127579,0.007510761198588835,3
standard_severe,single_shot_llm,communication_recovery_ratio,0.6637784143288931,0.01209162772640142,3
standard_severe,single_shot_llm,power_recovery_ratio,0.801904946565628,0.015160469372240122,3
standard_severe,single_shot_llm,road_recovery_ratio,0.6191268596384262,0.0030287540585320857,3
standard_severe,single_shot_llm,constraint_violation_rate_eval,0.0,0.0,3
standard_severe,single_shot_llm,invalid_action_rate_eval,0.0,0.0,3
standard_severe,single_shot_llm,wait_hold_usage_eval,0.2634132502776571,0.00451066194242565,3
standard_severe,single_shot_llm,mean_progress_delta_eval,0.004752905947996212,0.0002063883102721289,3
standard_severe,single_shot_llm,safety_capacity_index,0.8206705033779144,0.0023252680368921206,3
robustness_stress,baseline_rl,selection_score,0.2566385117814181,0.07111507165162646,6
robustness_stress,baseline_rl,min_recovery_ratio,0.5075220788518587,0.09357755174858422,6
robustness_stress,baseline_rl,critical_load_recovery_ratio,0.8243174023098416,0.046690982158368394,6
robustness_stress,baseline_rl,communication_recovery_ratio,0.5555597593386968,0.08277306337384267,6
robustness_stress,baseline_rl,power_recovery_ratio,0.7299685461653603,0.08888026909081653,6
robustness_stress,baseline_rl,road_recovery_ratio,0.5075220788518587,0.09357755174858422,6
robustness_stress,baseline_rl,constraint_violation_rate_eval,0.1625,0.12591332998005678,6
robustness_stress,baseline_rl,invalid_action_rate_eval,0.1625,0.12591332998005678,6
