scenario,method,metric,mean,std,n_valid,evidence_level,excluded_from_main
standard_moderate,baseline_rl,eval_success_rate,0.3333333333333333,0.0,3,per_seed_n3,False
standard_moderate,baseline_rl,safety_capacity_index,0.7535997437430711,0.004868124882730094,3,per_seed_n3,False
standard_moderate,full_outer_loop,selection_score,0.3763904354993575,0.06499406574898928,3,per_seed_n3,False
standard_moderate,full_outer_loop,min_recovery_ratio,0.6156598561339908,0.0020415902910516526,3,per_seed_n3,False
standard_moderate,full_outer_loop,critical_load_recovery_ratio,0.8521011703544192,0.01765243263715074,3,per_seed_n3,False
standard_moderate,full_outer_loop,communication_recovery_ratio,0.6824784080187479,0.029521374386026696,3,per_seed_n3,False
standard_moderate,full_outer_loop,power_recovery_ratio,0.8397831784354316,0.03922674307946489,3,per_seed_n3,False
standard_moderate,full_outer_loop,road_recovery_ratio,0.6156598561339908,0.0020415902910516526,3,per_seed_n3,False
standard_moderate,full_outer_loop,constraint_violation_rate_eval,0.20767365888350514,0.008990949574749446,3,per_seed_n3,False
standard_moderate,full_outer_loop,invalid_action_rate_eval,0.20767365888350514,0.008990949574749446,3,per_seed_n3,False
standard_moderate,full_outer_loop,wait_hold_usage_eval,0.17280712249007993,0.008898134561725463,3,per_seed_n3,False
standard_moderate,full_outer_loop,mean_progress_delta_eval,0.002839342076029233,0.000415227996991792,3,per_seed_n3,False
standard_moderate,full_outer_loop,eval_success_rate,0.2222222222222222,0.15713484026367722,3,per_seed_n3,False
standard_moderate,full_outer_loop,safety_capacity_index,0.751414261605892,0.002876666647003469,3,per_seed_n3,False
standard_moderate,single_shot_llm,selection_score,0.3971890678124676,0.02188716118104514,3,per_seed_n3,False
standard_moderate,single_shot_llm,min_recovery_ratio,0.6417820685439639,0.03246739984887597,3,per_seed_n3,False
standard_moderate,single_shot_llm,critical_load_recovery_ratio,0.8604342374536726,0.018705759099930153,3,per_seed_n3,False
standard_moderate,single_shot_llm,communication_recovery_ratio,0.6852304306295183,0.018356276463752628,3,per_seed_n3,False
standard_moderate,single_shot_llm,power_recovery_ratio,0.8531434800889757,0.039289489513613496,3,per_seed_n3,False
standard_moderate,single_shot_llm,road_recovery_ratio,0.6417820685439639,0.03246739984887597,3,per_seed_n3,False
standard_moderate,single_shot_llm,constraint_violation_rate_eval,0.2699329728854059,0.07304229567895809,3,per_seed_n3,False
standard_moderate,single_shot_llm,invalid_action_rate_eval,0.2699329728854059,0.07304229567895809,3,per_seed_n3,False
standard_moderate,single_shot_llm,wait_hold_usage_eval,0.1521608072182156,0.03689844471240132,3,per_seed_n3,False
standard_moderate,single_shot_llm,mean_progress_delta_eval,0.0036751813463386336,0.00048246970369059306,3,per_seed_n3,False
standard_moderate,single_shot_llm,eval_success_rate,0.3333333333333333,0.0,3,per_seed_n3,False
standard_moderate,single_shot_llm,safety_capacity_index,0.744795815233551,0.015871020032973644,3,per_seed_n3,False
standard_severe,ablation_fixed_global,selection_score,0.43308277495057734,0.06173633581225963,3,per_seed_n3,False
standard_severe,ablation_fixed_global,min_recovery_ratio,0.622740861442354,0.0035272684471744013,3,per_seed_n3,False
standard_severe,ablation_fixed_global,critical_load_recovery_ratio,0.8770474592844645,0.007883700867010318,3,per_seed_n3,False
standard_severe,ablation_fixed_global,communication_recovery_ratio,0.6593293878767226,0.0038230417942712934,3,per_seed_n3,False
standard_severe,ablation_fixed_global,power_recovery_ratio,0.8061490986082289,0.006576261308969803,3,per_seed_n3,False
