scenario,method,seed,mes_soc_end_mean,material_stock_end_mean,switching_capability_end_mean,crew_power_status_end_mean,crew_comm_status_end_mean,crew_road_status_end_mean
standard_moderate,baseline_rl,42,0.6746666431427002,0.1533333659172058,0.9866666793823242,0.776309867699941,0.9782821039358774,0.9982640345891317
standard_moderate,baseline_rl,43,0.20583323823908964,0.14416659126679102,0.932499756415685,0.9889161984125773,0.5588536659876505,0.9892390867074331
standard_moderate,baseline_rl,44,0.15366662293672562,0.11833326021830241,0.3066664859652519,0.922186533610026,0.974881241718928,0.9979571203390757
standard_moderate,single_shot_llm,42,0.048666623110572495,0.13999982178211212,0.9299997687339783,0.9946664075056711,0.796264668305715,0.8665226300557455
standard_moderate,single_shot_llm,43,0.06666664220392704,0.2071664830048879,0.9366663893063863,0.8808593650658926,0.8726945916811625,0.9789746403694153
standard_moderate,single_shot_llm,44,0.16066674950222173,0.14083329836527506,0.926666388909022,0.9037331541379293,0.8239360849062601,0.9843598306179047
standard_moderate,full_outer_loop,42,0.048666623110572495,0.13999982178211212,0.9299997687339783,0.9946664075056711,0.796264668305715,0.8665226300557455
standard_moderate,full_outer_loop,43,0.07316653865079085,0.13499996811151505,0.9324997365474701,0.962515244881312,0.6584094613790512,0.9554198284943899
standard_moderate,full_outer_loop,44,0.20166655257344246,0.15316665917634964,0.934666375319163,0.8473090628782908,0.9359900852044424,0.8495994210243225
resource_moderate,baseline_rl,42,0.5083334048589071,0.14749999344348907,0.5683333873748779,0.9103096425533295,0.9350841542085012,0.786951889594396
resource_moderate,baseline_rl,43,0.05233332266410192,0.14166666567325592,0.5083334445953369,0.8906577527523041,0.7045203248659769,0.8323814570903778
resource_moderate,baseline_rl,44,0.03233331938584646,0.11333333204189937,0.22333336373170218,0.8865229884783427,0.8027674456437429,0.8294630746046702
resource_moderate,full_outer_loop,42,0.06733331953485806,0.14333331088225046,0.5233334402243296,0.8258325060208639,0.8970591425895691,0.894522100687027
resource_moderate,full_outer_loop,43,0.05233331769704819,0.1433333307504654,0.5083334445953369,0.8628103832403818,0.7726841568946838,0.6898407240708669
resource_moderate,full_outer_loop,44,0.5408334285020828,0.2549999679128329,0.6008334358533224,0.9358945886294047,0.8576863606770834,0.9490359326203665
resource_moderate,single_shot_llm,43,0.037333318342765175,0.14333326121171316,0.8153334856033325,1.0,1.0,1.0
resource_moderate,single_shot_llm,44,0.037333318342765175,0.14333326121171316,0.816666821638743,1.0,1.0,1.0
