scenario,method,seed,action,action_category,usage_rate
standard_moderate,full_outer_loop,43,13,,0.07666666666666666
standard_moderate,full_outer_loop,43,14,,0.1
standard_moderate,full_outer_loop,44,0,,0.03333333333333333
standard_moderate,full_outer_loop,44,1,,0.056666666666666664
standard_moderate,full_outer_loop,44,2,,0.07666666666666666
standard_moderate,full_outer_loop,44,3,,0.06333333333333334
standard_moderate,full_outer_loop,44,4,,0.03666666666666667
standard_moderate,full_outer_loop,44,5,,0.056666666666666664
standard_moderate,full_outer_loop,44,6,,0.05333333333333334
standard_moderate,full_outer_loop,44,7,,0.06
standard_moderate,full_outer_loop,44,8,,0.05
standard_moderate,full_outer_loop,44,9,,0.13666666666666666
standard_moderate,full_outer_loop,44,10,,0.08
standard_moderate,full_outer_loop,44,11,,0.09
standard_moderate,full_outer_loop,44,12,,0.08
standard_moderate,full_outer_loop,44,13,,0.0
standard_moderate,full_outer_loop,44,14,,0.12666666666666668
resource_moderate,baseline_rl,42,0,,0.023333333333333334
resource_moderate,baseline_rl,42,1,,0.006666666666666667
resource_moderate,baseline_rl,42,2,,0.02666666666666667
resource_moderate,baseline_rl,42,3,,0.02666666666666667
resource_moderate,baseline_rl,42,4,,0.006666666666666667
resource_moderate,baseline_rl,42,5,,0.016666666666666666
resource_moderate,baseline_rl,42,6,,0.03
resource_moderate,baseline_rl,42,7,,0.02666666666666667
resource_moderate,baseline_rl,42,8,,0.03
resource_moderate,baseline_rl,42,9,,0.11
resource_moderate,baseline_rl,42,10,,0.11333333333333333
resource_moderate,baseline_rl,42,11,,0.11333333333333333
resource_moderate,baseline_rl,42,12,,0.24666666666666667
resource_moderate,baseline_rl,42,13,,0.016666666666666666
resource_moderate,baseline_rl,42,14,,0.20666666666666667
resource_moderate,baseline_rl,43,0,,0.043333333333333335
resource_moderate,baseline_rl,43,1,,0.016666666666666666
resource_moderate,baseline_rl,43,2,,0.02666666666666667
resource_moderate,baseline_rl,43,3,,0.03
resource_moderate,baseline_rl,43,4,,0.023333333333333334
resource_moderate,baseline_rl,43,5,,0.04
resource_moderate,baseline_rl,43,6,,0.016666666666666666
resource_moderate,baseline_rl,43,7,,0.016666666666666666
resource_moderate,baseline_rl,43,8,,0.016666666666666666
resource_moderate,baseline_rl,43,9,,0.13
resource_moderate,baseline_rl,43,10,,0.13
resource_moderate,baseline_rl,43,11,,0.10666666666666667
resource_moderate,baseline_rl,43,12,,0.18333333333333332
resource_moderate,baseline_rl,43,13,,0.016666666666666666
resource_moderate,baseline_rl,43,14,,0.20333333333333334
resource_moderate,baseline_rl,44,0,,0.02
resource_moderate,baseline_rl,44,1,,0.02
resource_moderate,baseline_rl,44,2,,0.016666666666666666
resource_moderate,baseline_rl,44,3,,0.023333333333333334
resource_moderate,baseline_rl,44,4,,0.03
resource_moderate,baseline_rl,44,5,,0.03333333333333333
resource_moderate,baseline_rl,44,6,,0.01
resource_moderate,baseline_rl,44,7,,0.02
resource_moderate,baseline_rl,44,8,,0.03
resource_moderate,baseline_rl,44,9,,0.12333333333333334
resource_moderate,baseline_rl,44,10,,0.12
resource_moderate,baseline_rl,44,11,,0.12333333333333334
resource_moderate,baseline_rl,44,12,,0.20666666666666667
resource_moderate,baseline_rl,44,13,,0.023333333333333334
resource_moderate,baseline_rl,44,14,,0.2
resource_moderate,full_outer_loop,42,0,,0.02666666666666667
resource_moderate,full_outer_loop,42,1,,0.02
resource_moderate,full_outer_loop,42,2,,0.016666666666666666
resource_moderate,full_outer_loop,42,3,,0.02666666666666667
resource_moderate,full_outer_loop,42,4,,0.03
resource_moderate,full_outer_loop,42,5,,0.023333333333333334
