scenario,method,seed,zone,layer,recovery_ratio
standard_moderate,full_outer_loop,43,B,critical_load,0.6583333214124044
standard_moderate,full_outer_loop,43,C,power,0.9900000890096029
standard_moderate,full_outer_loop,43,C,communication,0.9061598579088846
standard_moderate,full_outer_loop,43,C,road,0.5500000019868215
standard_moderate,full_outer_loop,43,C,critical_load,0.9900000691413879
standard_moderate,full_outer_loop,44,A,power,0.7068940301736196
standard_moderate,full_outer_loop,44,A,communication,0.5933333237965902
standard_moderate,full_outer_loop,44,A,road,0.8490554491678873
standard_moderate,full_outer_loop,44,A,critical_load,0.6590760598580042
standard_moderate,full_outer_loop,44,B,power,0.7966667612393697
standard_moderate,full_outer_loop,44,B,communication,0.6416330138842264
standard_moderate,full_outer_loop,44,B,road,0.6599232852458954
standard_moderate,full_outer_loop,44,B,critical_load,0.8525000512599945
standard_moderate,full_outer_loop,44,C,power,0.8200001219908396
standard_moderate,full_outer_loop,44,C,communication,0.7325076858202616
standard_moderate,full_outer_loop,44,C,road,0.5500000019868215
standard_moderate,full_outer_loop,44,C,critical_load,0.8958334227403005
resource_moderate,baseline_rl,42,A,power,0.6097308397293091
resource_moderate,baseline_rl,42,A,communication,0.46666666865348816
resource_moderate,baseline_rl,42,A,road,0.399999996026357
resource_moderate,baseline_rl,42,A,critical_load,0.6113013625144958
resource_moderate,baseline_rl,42,B,power,0.5299999912579855
resource_moderate,baseline_rl,42,B,communication,0.49333332975705463
resource_moderate,baseline_rl,42,B,road,0.6273629466692606
resource_moderate,baseline_rl,42,B,critical_load,0.5866666634877523
resource_moderate,baseline_rl,42,C,power,0.48333332935969037
resource_moderate,baseline_rl,42,C,communication,0.45333332816759747
resource_moderate,baseline_rl,42,C,road,0.40333332618077594
resource_moderate,baseline_rl,42,C,critical_load,0.5699999928474426
resource_moderate,baseline_rl,43,A,power,0.744987299044927
resource_moderate,baseline_rl,43,A,communication,0.6232323149840037
resource_moderate,baseline_rl,43,A,road,0.40191415945688885
resource_moderate,baseline_rl,43,A,critical_load,0.878854384024938
resource_moderate,baseline_rl,43,B,power,0.5316932102044424
resource_moderate,baseline_rl,43,B,communication,0.49502654870351154
resource_moderate,baseline_rl,43,B,road,0.4319141705830892
resource_moderate,baseline_rl,43,B,critical_load,0.5888542830944061
resource_moderate,baseline_rl,43,C,power,0.4850068539381027
resource_moderate,baseline_rl,43,C,communication,0.4550068527460098
resource_moderate,baseline_rl,43,C,road,0.4052474896113078
resource_moderate,baseline_rl,43,C,critical_load,0.5721876124540964
resource_moderate,baseline_rl,44,A,power,0.7427240212758383
resource_moderate,baseline_rl,44,A,communication,0.46666666865348816
resource_moderate,baseline_rl,44,A,road,0.399999996026357
resource_moderate,baseline_rl,44,A,critical_load,0.8766667644182841
resource_moderate,baseline_rl,44,B,power,0.5299999912579855
resource_moderate,baseline_rl,44,B,communication,0.49333332975705463
resource_moderate,baseline_rl,44,B,road,0.4300000071525574
resource_moderate,baseline_rl,44,B,critical_load,0.6080772479375204
resource_moderate,baseline_rl,44,C,power,0.48333332935969037
resource_moderate,baseline_rl,44,C,communication,0.45333332816759747
resource_moderate,baseline_rl,44,C,road,0.40333332618077594
resource_moderate,baseline_rl,44,C,critical_load,0.6095292568206787
resource_moderate,full_outer_loop,42,A,power,0.554527481396993
resource_moderate,full_outer_loop,42,A,communication,0.5178608099619547
resource_moderate,full_outer_loop,42,A,road,0.4579594035943349
resource_moderate,full_outer_loop,42,A,critical_load,0.6729060014088949
resource_moderate,full_outer_loop,42,B,power,0.8220864137013754
resource_moderate,full_outer_loop,42,B,communication,0.5454196333885193
resource_moderate,full_outer_loop,42,B,road,0.4879594147205353
resource_moderate,full_outer_loop,42,B,critical_load,0.9229061007499695
resource_moderate,full_outer_loop,42,C,power,0.5346208413441976
resource_moderate,full_outer_loop,42,C,communication,0.5046208600203196
resource_moderate,full_outer_loop,42,C,road,0.46129274368286133
resource_moderate,full_outer_loop,42,C,critical_load,0.6362393299738566
resource_moderate,full_outer_loop,43,A,power,0.503333330154419
resource_moderate,full_outer_loop,43,A,communication,0.46666666865348816
resource_moderate,full_outer_loop,43,A,road,0.6025755107402802
resource_moderate,full_outer_loop,43,A,critical_load,0.6066666642824808
resource_moderate,full_outer_loop,43,B,power,0.7700001200040182
resource_moderate,full_outer_loop,43,B,communication,0.49333332975705463
resource_moderate,full_outer_loop,43,B,road,0.4300000071525574
resource_moderate,full_outer_loop,43,B,critical_load,0.8566667636235555
resource_moderate,full_outer_loop,43,C,power,0.48333332935969037
resource_moderate,full_outer_loop,43,C,communication,0.45333332816759747
resource_moderate,full_outer_loop,43,C,road,0.44779058297475177
resource_moderate,full_outer_loop,43,C,critical_load,0.5699999928474426
resource_moderate,full_outer_loop,44,A,power,0.5196997225284576
resource_moderate,full_outer_loop,44,A,communication,0.48303308089574176
resource_moderate,full_outer_loop,44,A,road,0.4189673761526744
resource_moderate,full_outer_loop,44,A,critical_load,0.6283436516920725
resource_moderate,full_outer_loop,44,B,power,0.5466590225696564
resource_moderate,full_outer_loop,44,B,communication,0.624685009320577
resource_moderate,full_outer_loop,44,B,road,0.4489673872788747
resource_moderate,full_outer_loop,44,B,critical_load,0.608343650897344
resource_moderate,full_outer_loop,44,C,power,0.4997972548007965
resource_moderate,full_outer_loop,44,C,communication,0.4697972685098648
resource_moderate,full_outer_loop,44,C,road,0.4223007063070933
resource_moderate,full_outer_loop,44,C,critical_load,0.5916769802570343
resource_moderate,single_shot_llm,43,A,power,0.9032660822073618
resource_moderate,single_shot_llm,43,A,communication,0.6305307944615682
resource_moderate,single_shot_llm,43,A,road,0.5779783129692078
resource_moderate,single_shot_llm,43,A,critical_load,0.9854616224765778
resource_moderate,single_shot_llm,43,B,power,0.7032714188098907
resource_moderate,single_shot_llm,43,B,communication,0.6599380970001221
resource_moderate,single_shot_llm,43,B,road,0.6079783240954081
resource_moderate,single_shot_llm,43,B,critical_load,0.7975703974564871
resource_moderate,single_shot_llm,43,C,power,0.8408185740311941
resource_moderate,single_shot_llm,43,C,communication,0.6174851655960083
resource_moderate,single_shot_llm,43,C,road,0.5813116431236267
resource_moderate,single_shot_llm,43,C,critical_load,0.9587754905223846
resource_moderate,single_shot_llm,44,A,power,0.787302553653717
resource_moderate,single_shot_llm,44,A,communication,0.6306358377138773
resource_moderate,single_shot_llm,44,A,road,0.578083356221517
resource_moderate,single_shot_llm,44,A,critical_load,0.9451904992262522
resource_moderate,single_shot_llm,44,B,power,0.7233775655428568
resource_moderate,single_shot_llm,44,B,communication,0.6600442330042521
resource_moderate,single_shot_llm,44,B,road,0.6080833772818247
resource_moderate,single_shot_llm,44,B,critical_load,0.8201904694239298
resource_moderate,single_shot_llm,44,C,power,0.940922607978185
resource_moderate,single_shot_llm,44,C,communication,0.617589145898819
resource_moderate,single_shot_llm,44,C,road,0.5814166963100433
resource_moderate,single_shot_llm,44,C,critical_load,1.0
