scenario,method,metric,mean,std,n_valid,evidence_level
resource_moderate,full_outer_loop,critical_load_recovery_ratio,0.7628361582756042,0.07827218061089196,3,per_seed_n3
resource_moderate,full_outer_loop,communication_recovery_ratio,0.5432431896527607,0.06886889274882214,3,per_seed_n3
resource_moderate,full_outer_loop,power_recovery_ratio,0.6701892879274156,0.08587399016063431,3,per_seed_n3
resource_moderate,full_outer_loop,road_recovery_ratio,0.5172051025761498,0.05179556479186083,3,per_seed_n3
resource_moderate,full_outer_loop,constraint_violation_rate_eval,0.0,0.0,3,per_seed_n3
resource_moderate,full_outer_loop,invalid_action_rate_eval,0.0,0.0,3,per_seed_n3
resource_moderate,full_outer_loop,wait_hold_usage_eval,0.2722222222222222,0.061363116762151435,3,per_seed_n3
resource_moderate,full_outer_loop,mean_progress_delta_eval,0.004021534710018677,0.0009627120525055781,3,per_seed_n3
resource_moderate,full_outer_loop,eval_success_rate,0.0,0.0,3,per_seed_n3
resource_moderate,full_outer_loop,safety_capacity_index,0.7454076108005312,0.04626072292954001,3,per_seed_n3
resource_moderate,single_shot_llm,selection_score,0.31552119085965336,0.04468206792199474,3,per_seed_n3
resource_moderate,single_shot_llm,min_recovery_ratio,0.5298333366711934,0.08394930107365604,3,per_seed_n3
resource_moderate,single_shot_llm,critical_load_recovery_ratio,0.8369559645652771,0.11121580098610745,3,per_seed_n3
resource_moderate,single_shot_llm,communication_recovery_ratio,0.5810968710316552,0.07777167826598662,3,per_seed_n3
resource_moderate,single_shot_llm,power_recovery_ratio,0.7492524584134419,0.08456471259135062,3,per_seed_n3
resource_moderate,single_shot_llm,road_recovery_ratio,0.5298333366711934,0.08394930107365604,3,per_seed_n3
resource_moderate,single_shot_llm,constraint_violation_rate_eval,0.0,0.0,3,per_seed_n3
resource_moderate,single_shot_llm,invalid_action_rate_eval,0.0,0.0,3,per_seed_n3
resource_moderate,single_shot_llm,wait_hold_usage_eval,0.3222222222222222,0.039283710065919325,3,per_seed_n3
resource_moderate,single_shot_llm,mean_progress_delta_eval,0.00394415480119205,0.001242411733566576,3,per_seed_n3
resource_moderate,single_shot_llm,eval_success_rate,0.0,0.0,3,per_seed_n3
resource_moderate,single_shot_llm,safety_capacity_index,0.7783762554327647,0.06828997915811054,3,per_seed_n3
standard_severe,ablation_fixed_global,selection_score,0.43308277495057734,0.06173633581225963,3,per_seed_n3
standard_severe,ablation_fixed_global,min_recovery_ratio,0.622740861442354,0.0035272684471744013,3,per_seed_n3
standard_severe,ablation_fixed_global,critical_load_recovery_ratio,0.8770474592844645,0.007883700867010318,3,per_seed_n3
standard_severe,ablation_fixed_global,communication_recovery_ratio,0.6593293878767226,0.0038230417942712934,3,per_seed_n3
standard_severe,ablation_fixed_global,power_recovery_ratio,0.8061490986082289,0.006576261308969803,3,per_seed_n3
standard_severe,ablation_fixed_global,road_recovery_ratio,0.622740861442354,0.0035272684471744013,3,per_seed_n3
standard_severe,ablation_fixed_global,constraint_violation_rate_eval,0.0,0.0,3,per_seed_n3
standard_severe,ablation_fixed_global,invalid_action_rate_eval,0.0,0.0,3,per_seed_n3
standard_severe,ablation_fixed_global,wait_hold_usage_eval,0.26274928774928774,0.0031225513129320365,3,per_seed_n3
standard_severe,ablation_fixed_global,mean_progress_delta_eval,0.004798111901268945,0.0001355652263136274,3,per_seed_n3
standard_severe,ablation_fixed_global,eval_success_rate,0.2222222222222222,0.15713484026367722,3,per_seed_n3
standard_severe,ablation_fixed_global,safety_capacity_index,0.8249259122543865,0.002457837106590726,3,per_seed_n3
standard_severe,baseline_rl,selection_score,0.3132951339540027,0.04477504255245907,3,per_seed_n3
standard_severe,baseline_rl,min_recovery_ratio,0.5867565506034428,0.045121988463924866,3,per_seed_n3
standard_severe,baseline_rl,critical_load_recovery_ratio,0.8495023283693526,0.04860557255903047,3,per_seed_n3
standard_severe,baseline_rl,communication_recovery_ratio,0.6248774760299259,0.04251195334378001,3,per_seed_n3
standard_severe,baseline_rl,power_recovery_ratio,0.8108289076222314,0.009357266976441885,3,per_seed_n3
standard_severe,baseline_rl,road_recovery_ratio,0.5867565506034428,0.045121988463924866,3,per_seed_n3
standard_severe,baseline_rl,constraint_violation_rate_eval,0.08055555555555553,0.11392275919116597,3,per_seed_n3
standard_severe,baseline_rl,invalid_action_rate_eval,0.08055555555555553,0.11392275919116597,3,per_seed_n3
standard_severe,baseline_rl,wait_hold_usage_eval,0.25555555555555554,0.010393492741038726,3,per_seed_n3
standard_severe,baseline_rl,mean_progress_delta_eval,0.0041764344606133996,0.0006620234334772431,3,per_seed_n3
standard_severe,baseline_rl,eval_success_rate,0.0,0.0,3,per_seed_n3
standard_severe,baseline_rl,safety_capacity_index,0.7785239409738117,0.06673470811620077,3,per_seed_n3
standard_severe,full_outer_loop,selection_score,0.3888999278763751,0.06329349769813082,3,per_seed_n3
standard_severe,full_outer_loop,min_recovery_ratio,0.6173163519965278,0.007140752557322184,3,per_seed_n3
standard_severe,full_outer_loop,critical_load_recovery_ratio,0.882509622308943,0.00716904166244001,3,per_seed_n3
standard_severe,full_outer_loop,communication_recovery_ratio,0.6478193766540951,0.014326635905172712,3,per_seed_n3
standard_severe,full_outer_loop,power_recovery_ratio,0.7991911901368035,0.014406407089866931,3,per_seed_n3
standard_severe,full_outer_loop,road_recovery_ratio,0.6173163519965278,0.007140752557322184,3,per_seed_n3
standard_severe,full_outer_loop,constraint_violation_rate_eval,0.0,0.0,3,per_seed_n3
standard_severe,full_outer_loop,invalid_action_rate_eval,0.0,0.0,3,per_seed_n3
standard_severe,full_outer_loop,wait_hold_usage_eval,0.2522079772079772,0.013617592875531851,3,per_seed_n3
standard_severe,full_outer_loop,mean_progress_delta_eval,0.00456009319236684,0.00030711922230737906,3,per_seed_n3
standard_severe,full_outer_loop,eval_success_rate,0.1111111111111111,0.15713484026367722,3,per_seed_n3
standard_severe,full_outer_loop,safety_capacity_index,0.8249390910069148,0.0027576549904166775,3,per_seed_n3
standard_severe,single_shot_llm,selection_score,0.41903254133200174,0.05780613586609133,3,per_seed_n3
standard_severe,single_shot_llm,min_recovery_ratio,0.6191268596384261,0.0024729673332624215,3,per_seed_n3
standard_severe,single_shot_llm,critical_load_recovery_ratio,0.868503150012758,0.0061325108388124135,3,per_seed_n3
standard_severe,single_shot_llm,communication_recovery_ratio,0.6637784143288931,0.009872772696457654,3,per_seed_n3
standard_severe,single_shot_llm,power_recovery_ratio,0.801904946565628,0.012378471407693567,3,per_seed_n3
standard_severe,single_shot_llm,road_recovery_ratio,0.6191268596384261,0.0024729673332624215,3,per_seed_n3
standard_severe,single_shot_llm,constraint_violation_rate_eval,0.0,0.0,3,per_seed_n3
standard_severe,single_shot_llm,invalid_action_rate_eval,0.0,0.0,3,per_seed_n3
standard_severe,single_shot_llm,wait_hold_usage_eval,0.26341325027765705,0.0036829400537113843,3,per_seed_n3
standard_severe,single_shot_llm,mean_progress_delta_eval,0.004752905947996156,0.00016851534968067612,3,per_seed_n3
standard_severe,single_shot_llm,eval_success_rate,0.16666666666666663,0.13608276348795434,3,per_seed_n3
standard_severe,single_shot_llm,safety_capacity_index,0.8206705033779145,0.0018985734018629418,3,per_seed_n3
