scenario,method,n_valid,selection_score_mean,selection_score_std,min_recovery_ratio_mean,min_recovery_ratio_std,critical_load_recovery_ratio_mean,critical_load_recovery_ratio_std,power_recovery_ratio_mean,power_recovery_ratio_std,communication_recovery_ratio_mean,communication_recovery_ratio_std,road_recovery_ratio_mean,road_recovery_ratio_std,cumulative_progress_mean,cumulative_progress_std,mean_progress_delta_eval_mean,mean_progress_delta_eval_std,constraint_violation_rate_eval_mean,constraint_violation_rate_eval_std,invalid_action_rate_eval_mean,invalid_action_rate_eval_std,wait_hold_usage_eval_mean,wait_hold_usage_eval_std
resource_moderate,rule_based_greedy,3,0.32423962500360265,0.012761856406709347,0.6153529518180423,0.0008163972243344763,0.6905035442776151,0.00758154027583229,0.6233041286468506,0.007342509202918356,0.6185516913731893,0.003717784315268883,0.6179302533467611,0.0025135533508266208,0.12041537960370381,0.001411752884940074,0.003010384490092595,3.529382212350193e-05,0.7722222222222221,0.025983731852596812,0.7722222222222221,0.025983731852596812,0.03888888888888889,0.019641855032959652
standard_moderate,rule_based_greedy,3,0.5654874893583993,0.01326546193131655,0.733792222208447,0.0068048588221766935,0.8307290242777929,0.004996391768944077,0.7656554679075877,0.003019105043015588,0.7557165722052256,0.005312096403195355,0.733792222208447,0.0068048588221766935,0.1392952965365516,0.002661957965198581,0.004859138251275055,9.28589987859971e-05,0.49612403100775193,0.023416755762780194,0.49612403100775193,0.023416755762780194,0.03488372093023256,0.018988292579714558
standard_severe,rule_based_greedy,3,0.4922980565099093,0.014293033778986787,0.6400681717528238,0.006372643714277996,0.7696038948165046,0.0026868687157672105,0.7004268202516767,0.005603306426924731,0.6596190747287539,0.008896095628759579,0.6400681717528238,0.006372643714277996,0.15041112568643356,0.003910979124039721,0.003836077041235899,0.00012924713963103778,0.4741479253765181,0.027768852644423678,0.4741479253765181,0.027768852644423678,0.08229728408432802,0.014860404977471176
