scenario,method,step,mean_cumulative_progress,std_cumulative_progress,n_seeds
standard_moderate,baseline_rl,0,0.004446638955010308,0.002677542456065419,3
standard_moderate,baseline_rl,1,0.008906291590796577,0.00539185101303675,3
standard_moderate,baseline_rl,2,0.013379077116648356,0.008143326065855565,3
standard_moderate,baseline_rl,3,0.017865171035130818,0.01093243240065167,3
standard_moderate,baseline_rl,4,0.022326134973102145,0.013650492027081181,3
standard_moderate,baseline_rl,5,0.026799986759821575,0.01640500399449087,3
standard_moderate,baseline_rl,6,0.024390626698732376,0.0002893735643018548,3
standard_moderate,baseline_rl,7,0.02701563760638237,0.001718961960873924,3
standard_moderate,baseline_rl,8,0.03200620040297508,0.005342586131242159,3
standard_moderate,baseline_rl,9,0.04260055348277092,0.004555798150818991,3
standard_moderate,baseline_rl,10,0.05294070020318031,0.00401915442995861,3
standard_moderate,baseline_rl,11,0.05806567147374153,0.007073939288074893,3
standard_moderate,baseline_rl,12,0.06311674788594246,0.011283254891176908,3
standard_moderate,baseline_rl,13,0.06728773936629295,0.016057499933030274,3
standard_moderate,baseline_rl,14,0.07279432564973831,0.02065835562063316,3
standard_moderate,baseline_rl,15,0.07801647111773491,0.025440512997615957,3
standard_moderate,baseline_rl,16,0.08012796193361282,0.026653171125887345,3
standard_moderate,baseline_rl,17,0.0844833105802536,0.0319919467898311,3
standard_moderate,baseline_rl,18,0.08967053890228271,0.03672673671309185,3
standard_moderate,baseline_rl,19,0.09370836615562439,0.041761498646716445,3
standard_moderate,baseline_rl,20,0.09631038084626198,0.04275536320987235,3
standard_moderate,baseline_rl,21,0.09854776784777641,0.04371112809303889,3
standard_moderate,baseline_rl,22,0.09854498878121376,0.043714451145699086,3
standard_moderate,baseline_rl,23,0.1007835827767849,0.04481711069342424,3
standard_moderate,baseline_rl,24,0.10124004259705544,0.04426911857577922,3
standard_moderate,baseline_rl,25,0.10405347496271133,0.043769191576147774,3
standard_moderate,baseline_rl,26,0.1069570779800415,0.043904493568123086,3
standard_moderate,baseline_rl,27,0.1069570779800415,0.043904493568123086,3
standard_moderate,baseline_rl,28,0.10985458642244339,0.04418061711244333,3
