scenario,method,step,mean_progress_delta,std_progress_delta,n_seeds
resource_moderate,baseline_rl,0,0.004850467046101888,0.0011695347770180715,3
resource_moderate,baseline_rl,1,0.0034999979866875545,1.1470919235487325e-08,3
resource_moderate,baseline_rl,2,0.004891796244515313,0.0012053355159925094,3
resource_moderate,baseline_rl,3,0.005491342809465196,5.7354596177123645e-09,3
resource_moderate,baseline_rl,4,0.005679104063245985,7.916941698833209e-05,3
resource_moderate,baseline_rl,5,0.0018916361861758763,0.0012665500764509707,3
resource_moderate,baseline_rl,6,0.0011618683735529582,6.968583435469819e-07,3
resource_moderate,baseline_rl,7,0.001905876729223463,0.0012858343258677722,3
resource_moderate,baseline_rl,8,-6.725390752156575e-06,6.953875223795565e-08,3
resource_moderate,baseline_rl,9,0.001161019007364909,5.256635568659777e-08,3
resource_moderate,baseline_rl,10,-5.880991617838542e-06,3.441275770602374e-08,3
resource_moderate,baseline_rl,11,0.0011645191245608858,5.7354596177436626e-09,3
resource_moderate,baseline_rl,12,-5.2617655860053165e-06,6.430624332932014e-07,3
resource_moderate,baseline_rl,13,0.000524845388200548,0.0009208968679897399,3
resource_moderate,baseline_rl,14,0.0011662691831588745,6.9692914809335e-07,3
resource_moderate,baseline_rl,15,0.0011628286706076728,3.7280487514911276e-08,3
resource_moderate,baseline_rl,16,-4.342860645718045e-06,4.634112951358992e-07,3
resource_moderate,baseline_rl,17,0.00018997490406036377,0.0003368062641768116,3
resource_moderate,baseline_rl,18,0.0009706831640667386,0.0003367947919390461,3
resource_moderate,baseline_rl,19,0.0005326933330959744,0.0009293970357493472,3
resource_moderate,baseline_rl,20,0.0023316790660222373,2.1507973566258613e-07,3
resource_moderate,baseline_rl,21,0.0005667739444308811,0.0009899920592476314,3
resource_moderate,baseline_rl,22,-3.5829014248318144e-06,1.2225546216305351e-06,3
resource_moderate,baseline_rl,23,0.0001920759677886963,0.00033681486839170165,3
resource_moderate,baseline_rl,24,0.0009684513012568156,0.0003376066620545794,3
resource_moderate,baseline_rl,25,-3.821320003933377e-06,7.999475630598716e-07,3
resource_moderate,baseline_rl,26,0.0009709762202368841,0.0003370100830976675,3
resource_moderate,baseline_rl,27,0.0013578567239973278,0.0003374056302340194,3
resource_moderate,baseline_rl,28,-3.688865237765842e-06,2.8121304175008837e-07,3
resource_moderate,baseline_rl,29,0.00019102957513597279,0.00033761821053319654,3
resource_moderate,baseline_rl,30,-2.2252400716145835e-06,5.789974181214095e-07,3
resource_moderate,baseline_rl,31,0.000970058970981174,0.0003372306869065687,3
resource_moderate,baseline_rl,32,0.001164820459153917,1.062221986211895e-07,3
resource_moderate,baseline_rl,33,0.0011634230613708496,4.3901562281418546e-07,3
resource_moderate,baseline_rl,34,-3.837876849704318e-06,5.392247195856289e-07,3
resource_moderate,baseline_rl,35,-4.404120975070529e-06,4.924485801331546e-07,3
resource_moderate,baseline_rl,36,0.0011663370662265353,5.620750425316647e-07,3
resource_moderate,baseline_rl,37,-5.2683883243136925e-06,5.89581815419207e-07,3
resource_moderate,baseline_rl,38,0.00019263890054490828,0.00033700722097006934,3
resource_moderate,baseline_rl,39,0.0009703371259901258,0.000337643955953554,3
