scenario,seed,metric,single_shot_value,full_outer_loop_value,abs_diff,exact_match,same_selected_candidate_id,same_candidate_source,equivalence_hypothesis
resource_moderate,44,invalid_action_rate_eval,0.0791666666666666,0.0,0.0791666666666666,False,,,
resource_moderate,44,wait_hold_usage_eval,0.325,0.35,0.024999999999999967,False,,,
resource_moderate,44,mean_progress_delta_eval,0.004311192035675,0.0048768781125545,0.0005656860768794994,False,,,
resource_moderate,44,safety_capacity_index,0.7946977075934409,0.8288458302617073,0.03414812266826639,False,,,
resource_moderate,44,__summary__,,,0.0791666666666666,False,False,True,not_identical
standard_severe,42,selection_score,0.3394684397975603,0.3394684397975603,0.0,True,,,
standard_severe,42,min_recovery_ratio,0.6186127364635468,0.6186127364635468,0.0,True,,,
standard_severe,42,critical_load_recovery_ratio,0.8615386585394541,0.8615386585394541,0.0,True,,,
standard_severe,42,communication_recovery_ratio,0.6548512776692709,0.6548512776692709,0.0,True,,,
standard_severe,42,power_recovery_ratio,0.7852780620257059,0.7852780620257059,0.0,True,,,
standard_severe,42,road_recovery_ratio,0.6186127364635468,0.6186127364635468,0.0,True,,,
standard_severe,42,constraint_violation_rate_eval,0.0,0.0,0.0,True,,,
standard_severe,42,invalid_action_rate_eval,0.0,0.0,0.0,True,,,
standard_severe,42,wait_hold_usage_eval,0.2583333333333333,0.2583333333333333,0.0,True,,,
standard_severe,42,mean_progress_delta_eval,0.0045153483748435,0.0045153483748435,0.0,True,,,
standard_severe,42,safety_capacity_index,0.8180529882510503,0.8180529882510503,0.0,True,,,
standard_severe,42,__summary__,,,0.0,True,False,True,equivalent_fallback_or_anchor_source_likely
standard_severe,43,selection_score,0.4750777199015961,0.4750777199015961,0.0,True,,,
standard_severe,43,min_recovery_ratio,0.6223797698815664,0.6223797698815664,0.0,True,,,
standard_severe,43,critical_load_recovery_ratio,0.8675095240275065,0.8675095240275065,0.0,True,,,
standard_severe,43,communication_recovery_ratio,0.65894482533137,0.65894482533137,0.0,True,,,
standard_severe,43,power_recovery_ratio,0.8149617910385132,0.8149617910385132,0.0,True,,,
standard_severe,43,road_recovery_ratio,0.6223797698815664,0.6223797698815664,0.0,True,,,
standard_severe,43,constraint_violation_rate_eval,0.0,0.0,0.0,True,,,
standard_severe,43,invalid_action_rate_eval,0.0,0.0,0.0,True,,,
standard_severe,43,wait_hold_usage_eval,0.2649572649572649,0.2649572649572649,0.0,True,,,
standard_severe,43,mean_progress_delta_eval,0.0048881448134108,0.0048881448134108,0.0,True,,,
standard_severe,43,safety_capacity_index,0.8214612528681755,0.8214612528681755,0.0,True,,,
standard_severe,43,__summary__,,,0.0,True,False,True,equivalent_fallback_or_anchor_source_likely
standard_severe,44,selection_score,0.4425514642968488,0.4425514642968488,0.0,True,,,
standard_severe,44,min_recovery_ratio,0.616388072570165,0.616388072570165,0.0,True,,,
standard_severe,44,critical_load_recovery_ratio,0.8764612674713135,0.8764612674713135,0.0,True,,,
standard_severe,44,communication_recovery_ratio,0.6775391399860382,0.6775391399860382,0.0,True,,,
standard_severe,44,power_recovery_ratio,0.805474986632665,0.805474986632665,0.0,True,,,
standard_severe,44,road_recovery_ratio,0.616388072570165,0.616388072570165,0.0,True,,,
standard_severe,44,constraint_violation_rate_eval,0.0,0.0,0.0,True,,,
standard_severe,44,invalid_action_rate_eval,0.0,0.0,0.0,True,,,
standard_severe,44,wait_hold_usage_eval,0.2669491525423729,0.2669491525423729,0.0,True,,,
standard_severe,44,mean_progress_delta_eval,0.0048552246557341,0.0048552246557341,0.0,True,,,
standard_severe,44,safety_capacity_index,0.8224972690145175,0.8224972690145175,0.0,True,,,
standard_severe,44,__summary__,,,0.0,True,False,True,equivalent_fallback_or_anchor_source_likely
