scenario,method,seed,selected_candidate_id,candidate_source,validation_status,fallback_used,fallback_reason,selection_score,safety_capacity_index,constraint_violation_rate_eval,invalid_action_rate_eval,critical_load_recovery_ratio
resource_moderate,baseline_rl,42,,,,False,,0.1971102819641431,,0.25,0.25,0.797023336092631
resource_moderate,baseline_rl,43,,,,False,,0.2011460672020912,,0.2416666666666666,0.2416666666666666,0.7997521261374155
resource_moderate,baseline_rl,44,,,,False,,0.2016893196602662,,0.2416666666666666,0.2416666666666666,0.8006219665209452
resource_moderate,full_outer_loop,42,r3_feedback_refined,noop_fallback,valid,False,,0.3455287645061811,0.8244499415159225,0.0,0.0,0.9092339475949606
resource_moderate,full_outer_loop,43,r3_feedback_refined,noop_fallback,valid,False,,0.3466911071737607,0.8260588318109513,0.0,0.0,0.9139358202616372
resource_moderate,full_outer_loop,44,r3_feedback_refined,noop_fallback,valid,False,,0.3486774490276972,0.8288458302617073,0.0,0.0,0.9217936297257742
resource_moderate,single_shot_llm,42,r1_backstop,noop_fallback,valid,True,,0.3455287645061811,0.8244499415159225,0.0,0.0,0.9092339475949606
resource_moderate,single_shot_llm,43,r1_anchor,safe_anchor,valid,True,,0.3466911071737607,0.8260588318109513,0.0,0.0,0.9139358202616372
resource_moderate,single_shot_llm,44,r1_fixed_global_anchor,noop_fallback,valid,False,,0.3134976644714673,0.7946977075934409,0.0791666666666666,0.0791666666666666,0.892105390628179
standard_moderate,baseline_rl,42,,,,False,,0.3962525875730108,,0.2209302325581395,0.2209302325581395,0.8519927660624186
standard_moderate,baseline_rl,43,,,,False,,0.4210190486731854,,0.1911111111111111,0.1911111111111111,0.8597300350666046
standard_moderate,baseline_rl,44,,,,False,,0.4146776836500692,,0.2017167381974249,0.2017167381974249,0.8347533841927847
standard_moderate,full_outer_loop,42,r3_feedback_refined,noop_fallback,valid,False,,0.4155406306727014,0.7549530210409969,0.2183406113537118,0.2183406113537118,0.8742394149303436
standard_moderate,full_outer_loop,43,r3_feedback_refined,noop_fallback,valid,False,,0.2847959687312444,0.7513828987876574,0.2083333333333333,0.2083333333333333,0.8510238528251648
standard_moderate,full_outer_loop,44,r3_feedback_refined,noop_fallback,valid,False,,0.4288347070941268,0.7479068649890215,0.1963470319634703,0.1963470319634703,0.8310402433077494
standard_moderate,single_shot_llm,42,r1_fixed_global_anchor,noop_fallback,valid,False,,0.4155406306727014,0.7549530210409969,0.2183406113537118,0.2183406113537118,0.8742394149303436
standard_moderate,single_shot_llm,43,r1_fixed_global_anchor,noop_fallback,valid,False,,0.2847959687312444,0.7513828987876574,0.2083333333333333,0.2083333333333333,0.8510238528251648
standard_moderate,single_shot_llm,44,r1_fixed_global_anchor,noop_fallback,valid,False,,0.4288347070941268,0.7479068649890215,0.1963470319634703,0.1963470319634703,0.8310402433077494
standard_severe,baseline_rl,42,,,,False,,0.3464226125876108,,0.0,0.0,0.8928419947624207
standard_severe,baseline_rl,43,,,,False,,0.2499966722897121,,0.2416666666666666,0.2416666666666666,0.7816263536612192
standard_severe,baseline_rl,44,,,,False,,0.3434661169846852,,0.0,0.0,0.8740386366844177
standard_severe,full_outer_loop,42,r3_feedback_refined,noop_fallback,valid,False,,0.3394684397975603,0.8180529882510503,0.0,0.0,0.8615386585394541
standard_severe,full_outer_loop,43,r3_feedback_refined,noop_fallback,valid,False,,0.4750777199015961,0.8214612528681755,0.0,0.0,0.8675095240275065
standard_severe,full_outer_loop,44,r3_feedback_refined,noop_fallback,valid,False,,0.4425514642968488,0.8224972690145175,0.0,0.0,0.8764612674713135
standard_severe,single_shot_llm,42,r1_backstop,noop_fallback,valid,True,,0.3394684397975603,0.8180529882510503,0.0,0.0,0.8615386585394541
standard_severe,single_shot_llm,43,r1_backstop,noop_fallback,valid,True,,0.4750777199015961,0.8214612528681755,0.0,0.0,0.8675095240275065
standard_severe,single_shot_llm,44,r1_backstop,noop_fallback,valid,True,,0.4425514642968488,0.8224972690145175,0.0,0.0,0.8764612674713135
