scenario,method,seed,preset_name,zone,layer,recovery_ratio
standard_moderate,full_outer_loop,43,,B,communication,0.8229407966136932
standard_moderate,full_outer_loop,43,,B,road,0.6269911428292593
standard_moderate,full_outer_loop,43,,B,critical_load,0.748449037472407
standard_moderate,full_outer_loop,43,,C,power,0.6874692738056183
standard_moderate,full_outer_loop,43,,C,communication,0.6567867000897726
standard_moderate,full_outer_loop,43,,C,road,0.820681224266688
standard_moderate,full_outer_loop,43,,C,critical_load,0.7692432999610901
standard_moderate,full_outer_loop,44,,A,power,0.7460216879844666
standard_moderate,full_outer_loop,44,,A,communication,0.662688285112381
standard_moderate,full_outer_loop,44,,A,road,0.6219335297743479
standard_moderate,full_outer_loop,44,,A,critical_load,0.8224148452281952
standard_moderate,full_outer_loop,44,,B,power,0.9604925513267517
standard_moderate,full_outer_loop,44,,B,communication,0.6830986539522806
standard_moderate,full_outer_loop,44,,B,road,0.6352668503920237
standard_moderate,full_outer_loop,44,,B,critical_load,0.9289007584253947
standard_moderate,full_outer_loop,44,,C,power,0.7469409207503
standard_moderate,full_outer_loop,44,,C,communication,0.6657839119434357
standard_moderate,full_outer_loop,44,,C,road,0.618600199619929
standard_moderate,full_outer_loop,44,,C,critical_load,0.8202517032623291
