scenario,method,seed,valid_for_paper,selection_score,min_recovery_ratio,critical_load_recovery_ratio,power_recovery_ratio,communication_recovery_ratio,road_recovery_ratio,cumulative_progress,mean_progress_delta_eval,constraint_violation_rate_eval,invalid_action_rate_eval,wait_hold_usage_eval,safety_capacity_index
standard_moderate,rule_based_greedy,42,True,0.5467275655084802,0.7241716186205546,0.824193278948466,0.7619314889113108,0.757309357325236,0.7241716186205546,0.1365402340888977,0.004763031421705734,0.5290697674418605,0.5290697674418605,0.011627906976744186,
standard_moderate,rule_based_greedy,43,True,0.5747799113739369,0.7383972307046255,0.8363226056098938,0.765708734591802,0.7485621273517609,0.7383972307046255,0.1384510596593221,0.004829688127650771,0.47674418604651164,0.47674418604651164,0.05813953488372093,
standard_moderate,rule_based_greedy,44,True,0.5749549911927807,0.7388078173001608,0.8316711882750193,0.7693261802196503,0.76127823193868,0.7388078173001608,0.14289459586143494,0.004984695204468661,0.48255813953488375,0.48255813953488375,0.03488372093023256,
resource_moderate,rule_based_greedy,42,True,0.3099721360206602,0.6142105559508005,0.6813686490058899,0.6142105559508005,0.6238067746162415,0.6162641445795695,0.1186258594195048,0.00296564648548762,0.8,0.8,0.025,
resource_moderate,rule_based_greedy,43,True,0.3218011943499245,0.6160689095656077,0.6902094185352325,0.6235093871752421,0.6160689095656077,0.6214826802412668,0.12054346998532613,0.0030135867496331533,0.7791666666666667,0.7791666666666667,0.025,
resource_moderate,rule_based_greedy,44,True,0.3409455446402232,0.6157793899377187,0.6999325652917227,0.632192442814509,0.6157793899377187,0.6160439352194468,0.12207680940628052,0.003051920235157013,0.7375,0.7375,0.06666666666666667,
standard_severe,rule_based_greedy,42,True,0.4741542129706936,0.6312543898820877,0.7672759095827738,0.694265753030777,0.6551239838202795,0.6312543898820877,0.1450024644533793,0.003655524313950739,0.5042016806722689,0.5042016806722689,0.08403361344537816,
standard_severe,rule_based_greedy,43,True,0.49365396064545025,0.6428460081418356,0.7733687063058218,0.6991915106773376,0.6720428864161173,0.6428460081418356,0.1541171669960022,0.0039017004302785365,0.4810126582278481,0.4810126582278481,0.06329113924050633,
standard_severe,rule_based_greedy,44,True,0.509085995913584,0.646104117234548,0.7681670685609182,0.7078231970469157,0.6516903539498647,0.646104117234548,0.15211374560991922,0.003951006379478422,0.43722943722943725,0.43722943722943725,0.09956709956709957,
