scenario,method,step,layer,mean_recovery_ratio,std_recovery_ratio,n_seeds
standard_severe,baseline_rl,18,road,0.5385461946328481,0.013340398033180626,3
standard_severe,baseline_rl,19,communication,0.5818898777167002,0.014627641647932144,3
standard_severe,baseline_rl,19,critical_load,0.7525456382168664,0.021527868511181034,3
standard_severe,baseline_rl,19,power,0.6998211277855767,0.002636911495660959,3
standard_severe,baseline_rl,19,road,0.54145947098732,0.01586336936439777,3
standard_severe,baseline_rl,20,communication,0.5839864446057214,0.016443321834557722,3
standard_severe,baseline_rl,20,critical_load,0.7583821581469642,0.026273300033767863,3
standard_severe,baseline_rl,20,power,0.7094854083326129,0.004429714600325235,3
standard_severe,baseline_rl,20,road,0.5439415408505334,0.01801290491990832,3
standard_severe,baseline_rl,21,communication,0.5866451826360491,0.018745856510829325,3
standard_severe,baseline_rl,21,critical_load,0.7614902092350854,0.02894199586196367,3
standard_severe,baseline_rl,21,power,0.7121441463629404,0.006013941724584987,3
standard_severe,baseline_rl,21,road,0.546661075618532,0.02036809111547014,3
standard_severe,baseline_rl,22,communication,0.5882150762610966,0.02024285944766203,3
standard_severe,baseline_rl,22,critical_load,0.7703486680984497,0.027805979360620667,3
standard_severe,baseline_rl,22,power,0.7202531728479599,0.0023757823830383245,3
standard_severe,baseline_rl,22,road,0.5481259591049619,0.021748006327869496,3
standard_severe,baseline_rl,23,communication,0.5930339925818974,0.02439266114337818,3
standard_severe,baseline_rl,23,critical_load,0.7759384314219157,0.032469454898121745,3
standard_severe,baseline_rl,23,power,0.7268446948793198,0.003041432667809563,3
standard_severe,baseline_rl,23,road,0.5533551938003964,0.0262574693270178,3
standard_severe,baseline_rl,24,communication,0.5945807331138188,0.026041306353328828,3
standard_severe,baseline_rl,24,critical_load,0.7771214312977262,0.03308404199777679,3
standard_severe,baseline_rl,24,power,0.7314570612377591,0.002884795332216702,3
standard_severe,baseline_rl,24,road,0.5547874603006575,0.027748158088415627,3
standard_severe,baseline_rl,25,communication,0.5994641019238366,0.030211263493909707,3
standard_severe,baseline_rl,25,critical_load,0.7837181588013967,0.038870327618711516,3
standard_severe,baseline_rl,25,power,0.7374149660269419,0.004133468561548764,3
standard_severe,baseline_rl,25,road,0.5600445634788938,0.0322526443448131,3
standard_severe,baseline_rl,26,communication,0.5994641019238366,0.030211263493909707,3
standard_severe,baseline_rl,26,critical_load,0.789641088909573,0.039740775262745706,3
standard_severe,baseline_rl,26,power,0.7429134746392568,0.003019100763167526,3
standard_severe,baseline_rl,26,road,0.5600445634788938,0.0322526443448131,3
standard_severe,baseline_rl,27,communication,0.5994641019238366,0.030211263493909707,3
standard_severe,baseline_rl,27,critical_load,0.7925216952959696,0.042070623030695475,3
standard_severe,baseline_rl,27,power,0.7481237285666995,0.0027856715640481515,3
standard_severe,baseline_rl,27,road,0.5600445634788938,0.0322526443448131,3
standard_severe,baseline_rl,28,communication,0.6044127378198836,0.03445167029312329,3
standard_severe,baseline_rl,28,critical_load,0.8007049063841502,0.04517564162542695,3
standard_severe,baseline_rl,28,power,0.7545442779858907,0.003180792221055737,3
standard_severe,baseline_rl,28,road,0.565329780181249,0.0367932063652192,3
standard_severe,baseline_rl,29,communication,0.6044127378198836,0.03445167029312329,3
standard_severe,baseline_rl,29,critical_load,0.8027258813381195,0.042487942626285,3
standard_severe,baseline_rl,29,power,0.7582393851545121,0.005547966910938517,3
standard_severe,baseline_rl,29,road,0.565329780181249,0.0367932063652192,3
standard_severe,baseline_rl,30,communication,0.6094275150034163,0.03875890543800806,3
standard_severe,baseline_rl,30,critical_load,0.8094715840286679,0.04789948532216962,3
standard_severe,baseline_rl,30,power,0.7643971277607812,0.003713919946718688,3
standard_severe,baseline_rl,30,road,0.5706433355808258,0.04136624059291131,3
standard_severe,baseline_rl,31,communication,0.6094275150034163,0.03875890543800806,3
standard_severe,baseline_rl,31,critical_load,0.812041441599528,0.045394431320604105,3
