scenario,method,step,mean_constraint_violation,std_constraint_violation,mean_invalid_action,std_invalid_action,mean_wait_hold_usage,std_wait_hold_usage,n_seeds
resource_moderate,baseline_rl,0,0.0,0.0,0.0,0.0,0.0,0.0,3
resource_moderate,baseline_rl,1,0.0,0.0,0.0,0.0,0.0,0.0,3
resource_moderate,baseline_rl,2,0.0,0.0,0.0,0.0,0.0,0.0,3
resource_moderate,baseline_rl,3,0.0,0.0,0.0,0.0,0.0,0.0,3
resource_moderate,baseline_rl,4,0.0,0.0,0.0,0.0,0.0,0.0,3
resource_moderate,baseline_rl,5,0.0,0.0,0.0,0.0,0.0,0.0,3
resource_moderate,baseline_rl,6,0.27777777777777773,0.09622504486493763,0.27777777777777773,0.09622504486493763,0.05555555555555555,0.09622504486493763,3
resource_moderate,baseline_rl,7,0.3333333333333333,0.0,0.3333333333333333,0.0,0.27777777777777773,0.09622504486493763,3
resource_moderate,baseline_rl,8,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,3
resource_moderate,baseline_rl,9,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,3
resource_moderate,baseline_rl,10,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,3
resource_moderate,baseline_rl,11,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,3
resource_moderate,baseline_rl,12,0.0,0.0,0.0,0.0,0.38888888888888884,0.09622504486493763,3
resource_moderate,baseline_rl,13,0.611111111111111,0.09622504486493759,0.611111111111111,0.09622504486493759,0.0,0.0,3
resource_moderate,baseline_rl,14,0.0,0.0,0.0,0.0,0.611111111111111,0.09622504486493759,3
resource_moderate,baseline_rl,15,0.38888888888888884,0.09622504486493763,0.38888888888888884,0.09622504486493763,0.0,0.0,3
resource_moderate,baseline_rl,16,0.27777777777777773,0.09622504486493763,0.27777777777777773,0.09622504486493763,0.38888888888888884,0.09622504486493763,3
resource_moderate,baseline_rl,17,0.3333333333333333,0.0,0.3333333333333333,0.0,0.27777777777777773,0.09622504486493763,3
resource_moderate,baseline_rl,18,0.3333333333333333,0.0,0.3333333333333333,0.0,0.38888888888888884,0.09622504486493763,3
resource_moderate,baseline_rl,19,0.27777777777777773,0.09622504486493763,0.27777777777777773,0.09622504486493763,0.38888888888888884,0.09622504486493764,3
resource_moderate,baseline_rl,20,0.27777777777777773,0.09622504486493763,0.27777777777777773,0.09622504486493763,0.0,0.0,3
resource_moderate,baseline_rl,21,0.3333333333333333,0.16666666666666669,0.3333333333333333,0.16666666666666669,0.27777777777777773,0.09622504486493763,3
resource_moderate,baseline_rl,22,0.611111111111111,0.09622504486493759,0.611111111111111,0.09622504486493759,0.3333333333333333,0.16666666666666669,3
resource_moderate,baseline_rl,23,0.05555555555555555,0.09622504486493763,0.05555555555555555,0.09622504486493763,0.611111111111111,0.09622504486493759,3
resource_moderate,baseline_rl,24,0.27777777777777773,0.09622504486493763,0.27777777777777773,0.09622504486493763,0.05555555555555555,0.09622504486493763,3
resource_moderate,baseline_rl,25,0.4444444444444444,0.09622504486493766,0.4444444444444444,0.09622504486493766,0.27777777777777773,0.09622504486493763,3
resource_moderate,baseline_rl,26,0.0,0.0,0.0,0.0,0.4444444444444444,0.09622504486493766,3
resource_moderate,baseline_rl,27,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,3
resource_moderate,baseline_rl,28,0.27777777777777773,0.09622504486493763,0.27777777777777773,0.09622504486493763,0.3333333333333333,0.0,3
resource_moderate,baseline_rl,29,0.611111111111111,0.09622504486493759,0.611111111111111,0.09622504486493759,0.27777777777777773,0.09622504486493763,3
resource_moderate,baseline_rl,30,0.3333333333333333,0.0,0.3333333333333333,0.0,0.611111111111111,0.09622504486493759,3
resource_moderate,baseline_rl,31,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,3
resource_moderate,baseline_rl,32,0.05555555555555555,0.09622504486493763,0.05555555555555555,0.09622504486493763,0.3333333333333333,0.0,3
resource_moderate,baseline_rl,33,0.27777777777777773,0.09622504486493763,0.27777777777777773,0.09622504486493763,0.05555555555555555,0.09622504486493763,3
resource_moderate,baseline_rl,34,0.1111111111111111,0.09622504486493763,0.1111111111111111,0.09622504486493763,0.27777777777777773,0.09622504486493763,3
resource_moderate,baseline_rl,35,0.611111111111111,0.0962250448649376,0.611111111111111,0.0962250448649376,0.1111111111111111,0.09622504486493763,3
resource_moderate,baseline_rl,36,0.05555555555555555,0.09622504486493763,0.05555555555555555,0.09622504486493763,0.611111111111111,0.0962250448649376,3
resource_moderate,baseline_rl,37,0.5555555555555555,0.09622504486493756,0.5555555555555555,0.09622504486493756,0.05555555555555555,0.09622504486493763,3
resource_moderate,baseline_rl,38,0.38888888888888884,0.09622504486493763,0.38888888888888884,0.09622504486493763,0.5555555555555555,0.09622504486493756,3
resource_moderate,baseline_rl,39,0.0,0.0,0.0,0.0,0.38888888888888884,0.09622504486493763,3
