scenario,method,step,layer,mean_recovery_ratio,std_recovery_ratio,n_seeds
resource_moderate,baseline_rl,0,communication,0.4733173416720496,0.0019106536624346286,3
resource_moderate,baseline_rl,0,critical_load,0.6022661725680033,0.0004430642554650484,3
resource_moderate,baseline_rl,0,power,0.5181321501731873,0.0006553565577535173,3
resource_moderate,baseline_rl,0,road,0.4135801063643561,0.002138225229144528,3
resource_moderate,baseline_rl,1,communication,0.4733173416720496,0.0019106536624346286,3
resource_moderate,baseline_rl,1,critical_load,0.6172661847538419,0.000443075726384257,3
resource_moderate,baseline_rl,1,power,0.5314655005931854,0.0006553307483546519,3
resource_moderate,baseline_rl,1,road,0.4135801063643561,0.002138225229144528,3
resource_moderate,baseline_rl,2,communication,0.4755440387460921,0.0038390298950878557,3
resource_moderate,baseline_rl,2,critical_load,0.6318435602717929,0.0008090840819469484,3
resource_moderate,baseline_rl,2,power,0.5440625879499646,0.0012929618680284935,3
resource_moderate,baseline_rl,2,road,0.41612698634465534,0.004343887992473674,3
resource_moderate,baseline_rl,3,communication,0.47875144415431553,0.0038390298950878353,3
resource_moderate,baseline_rl,3,critical_load,0.6461318963103825,0.0008090754787117822,3
resource_moderate,baseline_rl,3,power,0.5561588605244955,0.0012929561326834027,3
resource_moderate,baseline_rl,3,road,0.4198792676130931,0.004343887992473674,3
resource_moderate,baseline_rl,4,communication,0.4822168979379866,0.003947636558408067,3
resource_moderate,baseline_rl,4,critical_load,0.6605723566479154,0.0007446347221621435,3
resource_moderate,baseline_rl,4,power,0.5685132079654269,0.0011843724110490205,3
resource_moderate,baseline_rl,4,road,0.4237646824783749,0.004400261825055765,3
resource_moderate,baseline_rl,5,communication,0.4833780758910709,0.0019364173470372158,3
resource_moderate,baseline_rl,5,critical_load,0.6677817172474332,0.00043018814873806865,3
resource_moderate,baseline_rl,5,power,0.572613431347741,0.0006295871377697238,3
resource_moderate,baseline_rl,5,road,0.4250641663869222,0.0021494896718336626,3
resource_moderate,baseline_rl,6,communication,0.4833780758910709,0.0019364173470372158,3
resource_moderate,baseline_rl,6,critical_load,0.6746057801776462,0.0006082382208969391,3
resource_moderate,baseline_rl,6,power,0.5770396457778083,0.0006282550029599477,3
resource_moderate,baseline_rl,6,road,0.4250641663869222,0.0021494896718336626,3
resource_moderate,baseline_rl,7,communication,0.4845549099975162,0.00010191911740598578,3
resource_moderate,baseline_rl,7,critical_load,0.6805533170700073,0.00011308101998899261,3
resource_moderate,baseline_rl,7,power,0.5811682211028205,0.00010216663518181963,3
resource_moderate,baseline_rl,7,road,0.42637049158414203,0.00011313194095854924,3
resource_moderate,baseline_rl,8,communication,0.4845549099975162,0.00010191911740598578,3
resource_moderate,baseline_rl,8,critical_load,0.6831197970443301,0.0001327700818471735,3
resource_moderate,baseline_rl,8,power,0.5811425546805064,0.00010190509361360715,3
resource_moderate,baseline_rl,8,road,0.42637049158414203,0.00011313194095854924,3
resource_moderate,baseline_rl,9,communication,0.4845549099975162,0.00010191911740598578,3
resource_moderate,baseline_rl,9,critical_load,0.690263075961007,0.0001466758335820803,3
resource_moderate,baseline_rl,9,power,0.5855655935075549,0.0001017531425923022,3
resource_moderate,baseline_rl,9,road,0.42637049158414203,0.00011313194095854924,3
resource_moderate,baseline_rl,10,communication,0.4845549099975162,0.00010191911740598578,3
resource_moderate,baseline_rl,10,critical_load,0.6925080451700422,0.00016058915666835918,3
resource_moderate,baseline_rl,10,power,0.585543135801951,0.000101621201745367,3
resource_moderate,baseline_rl,10,road,0.42637049158414203,0.00011313194095854924,3
resource_moderate,baseline_rl,11,communication,0.4845549099975162,0.00010191911740598578,3
resource_moderate,baseline_rl,11,critical_load,0.6983214384979672,0.00016057783113730467,3
resource_moderate,baseline_rl,11,power,0.5899794432852004,0.00010162691242425383,3
resource_moderate,baseline_rl,11,road,0.42637049158414203,0.00011313194095854924,3
resource_moderate,baseline_rl,12,communication,0.4845549099975162,0.00010191911740598578,3
resource_moderate,baseline_rl,12,critical_load,0.7003263963593378,0.00034440633157467224,3
resource_moderate,baseline_rl,12,power,0.5899593929449717,0.0001003037650971884,3
resource_moderate,baseline_rl,12,road,0.42637049158414203,0.00011313194095854924,3
