scenario,method,step,mean_cumulative_progress,std_cumulative_progress,n_seeds
standard_severe,baseline_rl,0,0.0034999946753184,0.0,3
standard_severe,baseline_rl,1,0.0069999893506368,0.0,3
standard_severe,baseline_rl,2,0.010499990648693508,5.735459617211593e-09,3
standard_severe,baseline_rl,3,0.015775442123413086,0.0,3
standard_severe,baseline_rl,4,0.019275446732838947,0.0,3
standard_severe,baseline_rl,5,0.022775472866164312,2.867729808418007e-09,3
standard_severe,baseline_rl,6,0.026275475819905598,0.0,3
standard_severe,baseline_rl,7,0.029775460561116535,0.0,3
standard_severe,baseline_rl,8,0.03998616668913099,5.735459616836014e-09,3
standard_severe,baseline_rl,9,0.047185578280025064,0.00043760696563884146,3
standard_severe,baseline_rl,10,0.053566113114356995,0.0014180034908449902,3
standard_severe,baseline_rl,11,0.0618723730246226,0.0015895424848200927,3
standard_severe,baseline_rl,12,0.06915479070610471,0.0012924198670564776,3
standard_severe,baseline_rl,13,0.07849325405226813,0.0027924977850303256,3
standard_severe,baseline_rl,14,0.08337086107995777,0.0030070957420851,3
standard_severe,baseline_rl,15,0.09300707446204291,0.004534024214259072,3
standard_severe,baseline_rl,16,0.09758055541250442,0.004599878761599897,3
standard_severe,baseline_rl,17,0.10108217597007751,0.005348777623657997,3
standard_severe,baseline_rl,18,0.1061122649245792,0.008316964139686554,3
standard_severe,baseline_rl,19,0.10874717434247334,0.010603918569623564,3
standard_severe,baseline_rl,20,0.11281926433245341,0.012007262837192133,3
standard_severe,baseline_rl,21,0.11528349253866409,0.014135420637763428,3
standard_severe,baseline_rl,22,0.11840342647499508,0.014020446700113622,3
standard_severe,baseline_rl,23,0.12345921330981785,0.01716821438060634,3
standard_severe,baseline_rl,24,0.12564507457945082,0.017723065329584925,3
standard_severe,baseline_rl,25,0.13055954376856485,0.021208397810755716,3
standard_severe,baseline_rl,26,0.13200573126475015,0.02072132811062789,3
standard_severe,baseline_rl,27,0.13338068293200597,0.020354666502698064,3
standard_severe,baseline_rl,28,0.13844142191939884,0.023710369453456486,3
standard_severe,baseline_rl,29,0.1394182327720854,0.022029097960030105,3
standard_severe,baseline_rl,30,0.14444193409548864,0.025567857417005492,3
standard_severe,baseline_rl,31,0.14562411275174883,0.024176974043367334,3
standard_severe,baseline_rl,32,0.14752616319391462,0.02491607828795591,3
standard_severe,baseline_rl,33,0.15322122971216837,0.027417562661743142,3
standard_severe,baseline_rl,34,0.153478956884808,0.02696577224595063,3
standard_severe,baseline_rl,35,0.15871567196316191,0.03029696629768579,3
standard_severe,baseline_rl,36,0.15932542747921416,0.029270981861337777,3
standard_severe,baseline_rl,37,0.16056159800953337,0.029324502606854055,3
standard_severe,baseline_rl,38,0.16467649075720045,0.031066728087014772,3
standard_severe,baseline_rl,39,0.16705737842453852,0.03243239219569304,3
standard_severe,full_outer_loop,0,0.0034999946753184,0.0,3
standard_severe,full_outer_loop,1,0.0069999893506368,0.0,3
standard_severe,full_outer_loop,2,0.010499988993008932,4.967053730559751e-09,3
standard_severe,full_outer_loop,3,0.015775442123413086,0.0,3
standard_severe,full_outer_loop,4,0.019275446732838947,0.0,3
standard_severe,full_outer_loop,5,0.022775471210479736,9.934107463721586e-09,3
standard_severe,full_outer_loop,6,0.026275475819905598,0.0,3
standard_severe,full_outer_loop,7,0.030146924985779654,0.0006433952567208663,3
standard_severe,full_outer_loop,8,0.03872513605488671,0.0018586050846286005,3
standard_severe,full_outer_loop,9,0.045252588060167104,0.0016310075322715743,3
standard_severe,full_outer_loop,10,0.05225028925471836,0.0010202079067306337,3
standard_severe,full_outer_loop,11,0.06011277437210083,0.002440023254867288,3
standard_severe,full_outer_loop,12,0.06598162319925095,0.004226777671078776,3
standard_severe,full_outer_loop,13,0.07547525895966424,0.005031628564870307,3
standard_severe,full_outer_loop,14,0.08170421918233235,0.0044046068360193355,3
standard_severe,full_outer_loop,15,0.09132356279426151,0.004073616581979414,3
standard_severe,full_outer_loop,16,0.09514932168854606,0.003539463673507061,3
standard_severe,full_outer_loop,17,0.09961759712960984,0.0022672763737668217,3
standard_severe,full_outer_loop,18,0.10571550329526265,0.0033355391074116705,3
standard_severe,full_outer_loop,19,0.11062962810198466,0.0014520402794757149,3
standard_severe,full_outer_loop,20,0.1169377863407135,0.000986002356237499,3
standard_severe,full_outer_loop,21,0.11871159738964504,0.0013055905016731758,3
standard_severe,full_outer_loop,22,0.1248520380920834,0.0013593374119112123,3
standard_severe,full_outer_loop,23,0.13165953424241808,0.0012693475674942947,3
standard_severe,full_outer_loop,24,0.13426809509595236,0.003550016961458876,3
standard_severe,full_outer_loop,25,0.14219272136688232,0.0035268210840554413,3
standard_severe,full_outer_loop,26,0.14353913731045195,0.0033904271041736394,3
standard_severe,full_outer_loop,27,0.14502779311603972,0.003216979986738841,3
standard_severe,full_outer_loop,28,0.15198672480053374,0.0032786281914508487,3
standard_severe,full_outer_loop,29,0.15276449918746948,0.0038034369294500762,3
standard_severe,full_outer_loop,30,0.16038001245922515,0.0035591551720851812,3
standard_severe,full_outer_loop,31,0.16054237551159328,0.003586630528819686,3
standard_severe,full_outer_loop,32,0.16269808676507738,0.00413217843962449,3
standard_severe,full_outer_loop,33,0.170136958360672,0.0045099464962815175,3
standard_severe,full_outer_loop,34,0.17013222310278153,0.004511523008360148,3
standard_severe,full_outer_loop,35,0.17763934201664397,0.004983630528984122,3
standard_severe,full_outer_loop,36,0.17922949724727208,0.005920778882715411,3
standard_severe,full_outer_loop,37,0.18290320270591312,0.008334044978453834,3
standard_severe,full_outer_loop,38,0.18937536080678305,0.010898408789559857,3
standard_severe,full_outer_loop,39,0.19267714520295462,0.010947464930380612,3
standard_severe,single_shot_llm,0,0.0034999946753184,0.0,3
standard_severe,single_shot_llm,1,0.0069999893506368,0.0,3
standard_severe,single_shot_llm,2,0.010499988993008932,4.967053730559751e-09,3
standard_severe,single_shot_llm,3,0.015775442123413086,0.0,3
standard_severe,single_shot_llm,4,0.019275446732838947,0.0,3
standard_severe,single_shot_llm,5,0.022775471210479736,9.934107463721586e-09,3
standard_severe,single_shot_llm,6,0.026275475819905598,0.0,3
standard_severe,single_shot_llm,7,0.030146924985779654,0.0006433952567208663,3
standard_severe,single_shot_llm,8,0.03872513605488671,0.0018586050846286005,3
standard_severe,single_shot_llm,9,0.045252588060167104,0.0016310075322715743,3
standard_severe,single_shot_llm,10,0.05225028925471836,0.0010202079067306337,3
standard_severe,single_shot_llm,11,0.06011277437210083,0.002440023254867288,3
standard_severe,single_shot_llm,12,0.06598162319925095,0.004226777671078776,3
standard_severe,single_shot_llm,13,0.07547525895966424,0.005031628564870307,3
standard_severe,single_shot_llm,14,0.08170421918233235,0.0044046068360193355,3
standard_severe,single_shot_llm,15,0.09132356279426151,0.004073616581979414,3
standard_severe,single_shot_llm,16,0.09514932168854606,0.003539463673507061,3
standard_severe,single_shot_llm,17,0.09961759712960984,0.0022672763737668217,3
standard_severe,single_shot_llm,18,0.10571550329526265,0.0033355391074116705,3
standard_severe,single_shot_llm,19,0.11001358098453945,0.0018705527186433134,3
standard_severe,single_shot_llm,20,0.1169377863407135,0.000986002356237499,3
standard_severe,single_shot_llm,21,0.11871159738964504,0.0013055905016731758,3
standard_severe,single_shot_llm,22,0.1248520380920834,0.0013593374119112123,3
standard_severe,single_shot_llm,23,0.13165953424241808,0.0012693475674942947,3
standard_severe,single_shot_llm,24,0.13426809509595236,0.003550016961458876,3
standard_severe,single_shot_llm,25,0.14219272136688232,0.0035268210840554413,3
