scenario,method,step,mean_progress_delta,std_progress_delta,n_seeds
standard_moderate,baseline_rl,0,0.004446638955010309,0.0016396531954996811,3
standard_moderate,baseline_rl,1,0.004459652635786268,0.0016621763454479587,3
standard_moderate,baseline_rl,2,0.00447278552585178,0.0016849231782912395,3
standard_moderate,baseline_rl,3,0.004486093918482463,0.0017079739904653736,3
standard_moderate,baseline_rl,4,0.004460963937971327,0.0016644647938057243,3
standard_moderate,baseline_rl,5,0.0044738517867194275,0.0016867872026376973,3
standard_moderate,baseline_rl,6,0.0034028357929653595,0.00016838735920822633,3
standard_moderate,baseline_rl,7,0.002722233533859253,0.0006735781129588568,3
standard_moderate,baseline_rl,8,0.005175398455725776,0.001280579010675793,3
standard_moderate,baseline_rl,9,0.010564234521653918,0.00020866985647962217,3
standard_moderate,baseline_rl,10,0.010317769315507678,0.00015503808129643253,3
standard_moderate,baseline_rl,11,0.005291018221113416,0.0011505907923994808,3
standard_moderate,baseline_rl,12,0.005233016279008653,0.0012695176488339507,3
standard_moderate,baseline_rl,13,0.00432382689581977,0.0010588748192013344,3
standard_moderate,baseline_rl,14,0.005711345209015739,0.001418611449564463,3
standard_moderate,baseline_rl,15,0.005395584636264376,0.0012083901746385377,3
standard_moderate,baseline_rl,16,0.002167332503530714,0.0003871928192522479,3
standard_moderate,baseline_rl,17,0.004538913567860921,0.0012866011821674266,3
standard_moderate,baseline_rl,18,0.0053729514280955,0.0012954946055534456,3
standard_moderate,baseline_rl,19,0.004173192712995741,0.0009476658925792184,3
standard_moderate,baseline_rl,20,0.0027235382133060037,0.0008505663604808831,3
standard_moderate,baseline_rl,21,0.0022922936413023206,0.00038041217687362247,3
standard_moderate,baseline_rl,22,-2.470281389024523e-06,2.1393495021178216e-06,3
standard_moderate,baseline_rl,23,0.0022997458775838218,0.0004575508880795722,3
standard_moderate,baseline_rl,24,0.0004057420624627007,0.0006594604457111005,3
standard_moderate,baseline_rl,25,0.0028897192743089464,0.0009659218604877122,3
standard_moderate,baseline_rl,26,0.002883671058548821,0.00031360766838493245,3
standard_moderate,baseline_rl,27,0.0,0.0,3
standard_moderate,baseline_rl,28,0.0029112216499116686,0.00035053770343482297,3
standard_moderate,baseline_rl,29,0.0,0.0,3
standard_moderate,baseline_rl,30,0.0023665560616387264,0.0011985575597744766,3
standard_moderate,baseline_rl,31,0.00225275092654758,0.00026048954223331693,3
standard_moderate,baseline_rl,32,0.0026707318094041613,0.0006278319563480417,3
standard_moderate,baseline_rl,33,0.0009812861680984497,0.0002161336771783453,3
standard_moderate,baseline_rl,34,0.0023523337311214874,0.0009642446071407572,3
standard_moderate,baseline_rl,35,0.0,0.0,3
standard_moderate,baseline_rl,36,0.0018235196669896443,0.0009020879301910445,3
standard_moderate,baseline_rl,37,0.0014836510022481284,0.00012364798455803957,3
standard_moderate,baseline_rl,38,0.0008749961853027344,0.0008749961853027344,3
standard_moderate,baseline_rl,39,0.0014797995487848918,0.0013352758153119732,3
standard_moderate,full_outer_loop,0,0.0034999847412109375,0.0,3
standard_moderate,full_outer_loop,1,0.0034999979866875545,1.1470919235268236e-08,3
standard_moderate,full_outer_loop,2,0.0034999847412109375,0.0,3
standard_moderate,full_outer_loop,3,0.003500001298056708,1.1470919235268236e-08,3
standard_moderate,full_outer_loop,4,0.0034999847412109375,0.0,3
standard_moderate,full_outer_loop,5,0.0034999847412109375,0.0,3
standard_moderate,full_outer_loop,6,0.003402845727072822,0.0001683959621778736,3
standard_moderate,full_outer_loop,7,0.002819448709487915,0.0006071443686479792,3
standard_moderate,full_outer_loop,8,0.00482493970129225,0.0006735666420396212,3
standard_moderate,full_outer_loop,9,0.010823710097206963,0.00023904500735716304,3
standard_moderate,full_outer_loop,10,0.007969624466366239,0.0021102533927996174,3
standard_moderate,full_outer_loop,11,0.004763321744071113,0.0006423792678575933,3
standard_moderate,full_outer_loop,12,0.006018102169036865,0.001953811296902421,3
standard_moderate,full_outer_loop,13,0.004086560673183865,0.0006735723774992391,3
standard_moderate,full_outer_loop,14,0.004843499925401476,8.420751319560751e-05,3
standard_moderate,full_outer_loop,15,0.00444877478811476,0.00036815323645942487,3
standard_moderate,full_outer_loop,16,0.0016684002346462673,0.0004324246204871772,3
standard_moderate,full_outer_loop,17,0.004037648439407349,0.0004488627745781304,3
standard_moderate,full_outer_loop,18,0.004552831252415975,0.000903979212967289,3
standard_moderate,full_outer_loop,19,0.004134178161621094,0.0005506128827074062,3
standard_moderate,full_outer_loop,20,0.0010922782950931126,0.0009452270020817516,3
standard_moderate,full_outer_loop,21,0.0009726021024915908,0.0008819266577915039,3
standard_moderate,full_outer_loop,22,0.0005072222815619575,0.00047878534819933603,3
standard_moderate,full_outer_loop,23,0.0016327169206407333,0.0015059285382529283,3
standard_moderate,full_outer_loop,24,0.000727905167473687,0.0012166122813708543,3
standard_moderate,full_outer_loop,25,0.0007954438527425131,0.0006537862526084539,3
standard_moderate,full_outer_loop,26,0.001978162262174818,0.0016873775002370047,3
standard_moderate,full_outer_loop,27,0.0009121663040584988,0.001579918383581641,3
standard_moderate,full_outer_loop,28,0.0015784197383456762,0.0014261205809396565,3
standard_moderate,full_outer_loop,29,0.00043586227628919814,0.0007549356076355148,3
standard_moderate,full_outer_loop,30,0.0010731399059295654,0.0009985707146120137,3
standard_moderate,full_outer_loop,31,0.0011098550425635444,0.0009368819096187215,3
standard_moderate,full_outer_loop,32,0.001647329992718167,0.000621595726916622,3
standard_moderate,full_outer_loop,33,0.0012299418449401855,0.00107890464350941,3
standard_moderate,full_outer_loop,34,0.001766262782944573,0.0015364335913064648,3
standard_moderate,full_outer_loop,35,0.001183172067006429,0.0020493141341514235,3
standard_moderate,full_outer_loop,36,0.0002965148952272203,0.0005049145655841771,3
standard_moderate,full_outer_loop,37,0.0016601582368214924,0.0017452707559643564,3
standard_moderate,full_outer_loop,38,0.0015472422043482463,0.0017685099722459811,3
standard_moderate,full_outer_loop,39,0.000861207644144694,0.0010273381623611259,3
standard_moderate,single_shot_llm,0,0.0034999847412109375,0.0,3
standard_moderate,single_shot_llm,1,0.0034999979866875545,1.1470919235268236e-08,3
standard_moderate,single_shot_llm,2,0.0034999847412109375,0.0,3
standard_moderate,single_shot_llm,3,0.003500001298056708,1.1470919235268236e-08,3
standard_moderate,single_shot_llm,4,0.0034999847412109375,0.0,3
standard_moderate,single_shot_llm,5,0.0034999847412109375,0.0,3
standard_moderate,single_shot_llm,6,0.003402845727072822,0.0001683959621778736,3
standard_moderate,single_shot_llm,7,0.002819448709487915,0.0006071443686479792,3
