scenario,method,step,mean_cumulative_progress,std_cumulative_progress,n_seeds
resource_moderate,rule_based_greedy,32,0.10232896606127422,0.011974696164564822,3
resource_moderate,rule_based_greedy,33,0.10488924384117126,0.012289999698644248,3
resource_moderate,rule_based_greedy,34,0.10777890682220459,0.012331470664520566,3
resource_moderate,rule_based_greedy,35,0.11036802331606548,0.012531098630380764,3
resource_moderate,rule_based_greedy,36,0.11279743247561985,0.01311132482322337,3
resource_moderate,rule_based_greedy,37,0.11534497804111904,0.01387239725716089,3
resource_moderate,rule_based_greedy,38,0.11798137095239428,0.014364389229060264,3
resource_moderate,rule_based_greedy,39,0.12041537960370381,0.014880818505444555,3
standard_moderate,rule_based_greedy,0,0.010671416918436686,0.0011031652477745937,3
standard_moderate,rule_based_greedy,1,0.019476304451624554,0.0048358204760673784,3
standard_moderate,rule_based_greedy,2,0.03048736850420634,0.005741760800727511,3
standard_moderate,rule_based_greedy,3,0.03943998614947001,0.009613648457204185,3
standard_moderate,rule_based_greedy,4,0.04835211237271627,0.01344470581088123,3
standard_moderate,rule_based_greedy,5,0.05733810861905416,0.017336957180176995,3
standard_moderate,rule_based_greedy,6,0.05680714547634125,0.020091012120246887,3
standard_moderate,rule_based_greedy,7,0.06750847399234772,0.02079807221889496,3
standard_moderate,rule_based_greedy,8,0.07100848853588104,0.020798102021217346,3
standard_moderate,rule_based_greedy,9,0.07450847327709198,0.020798102021217346,3
standard_moderate,rule_based_greedy,10,0.0780084878206253,0.02079807221889496,3
standard_moderate,rule_based_greedy,11,0.08162935574849446,0.020679391486897392,3
standard_moderate,rule_based_greedy,12,0.08947962025801341,0.024957463109897694,3
standard_moderate,rule_based_greedy,13,0.09280491868654887,0.025136852030987682,3
standard_moderate,rule_based_greedy,14,0.09616778294245402,0.02528951676359958,3
standard_moderate,rule_based_greedy,15,0.09952989220619202,0.025442136840589165,3
standard_moderate,rule_based_greedy,16,0.10276414453983307,0.025721292420135343,3
standard_moderate,rule_based_greedy,17,0.11032067239284515,0.030417430084247594,3
standard_moderate,rule_based_greedy,18,0.1134775181611379,0.030786819541757517,3
standard_moderate,rule_based_greedy,19,0.11662102739016215,0.031168209554489634,3
standard_moderate,rule_based_greedy,20,0.11996546387672424,0.03154740080462858,3
standard_moderate,rule_based_greedy,21,0.12319477399190266,0.0319257724213124,3
standard_moderate,rule_based_greedy,22,0.12618061900138855,0.03213205866940327,3
standard_moderate,rule_based_greedy,23,0.12880166371663412,0.03207571266192012,3
standard_moderate,rule_based_greedy,24,0.13144412140051523,0.03202671088766523,3
standard_moderate,rule_based_greedy,25,0.13404220342636108,0.032076763597021885,3
standard_moderate,rule_based_greedy,26,0.13700986405213675,0.032174070608314086,3
standard_moderate,rule_based_greedy,27,0.13897313177585602,0.03164419235644205,3
standard_moderate,rule_based_greedy,28,0.14155897001425424,0.031345832508612045,3
standard_moderate,rule_based_greedy,29,0.1441161036491394,0.031105695154224525,3
standard_moderate,rule_based_greedy,30,0.1469311664501826,0.03152028110202633,3
standard_moderate,rule_based_greedy,31,0.14998296896616617,0.03183438710220611,3
standard_moderate,rule_based_greedy,32,0.1529036064942678,0.03215461153226041,3
standard_moderate,rule_based_greedy,33,0.1558858056863149,0.03248147721954473,3
standard_moderate,rule_based_greedy,34,0.15876339872678122,0.03245315319715198,3
standard_moderate,rule_based_greedy,35,0.16182897984981537,0.03314499842924042,3
standard_moderate,rule_based_greedy,36,0.16412667433420816,0.03318743227716599,3
standard_moderate,rule_based_greedy,37,0.1669451892375946,0.03314394721320929,3
standard_moderate,rule_based_greedy,38,0.16977239151795706,0.03361971186641212,3
standard_moderate,rule_based_greedy,39,0.17234277228514353,0.034089596859206116,3
standard_severe,rule_based_greedy,0,0.008045425017674765,0.0032564344483084063,3
standard_severe,rule_based_greedy,1,0.016155401865641277,0.0065589211321076145,3
standard_severe,rule_based_greedy,2,0.024330685536066692,0.009907968549685156,3
standard_severe,rule_based_greedy,3,0.03434751431147257,0.010833121801190258,3
standard_severe,rule_based_greedy,4,0.04265565673510233,0.014275031982348993,3
